param,level,n_robots,seed,steps,success_rate,cf_success_rate,steps_mean,total_dist_mean,max_dist_mean,jain_mean,obs_collisions_mean,robot_collisions_mean
potential_coef,0.02,3,0,200000,0.27,0.01,254.66,491.81,179.01,0.9916983189346881,24.15,5.01
potential_coef,0.1,3,0,200000,0.92,0.09,107.86,210.43,76.81,0.9856009708960357,20.31,3.92
potential_coef,0.25,3,0,200000,0.97,0.14,77.08,144.0,52.91,0.9860447359056699,20.64,5.39
potential_coef,0.5,3,0,200000,0.98,0.18,74.27,142.35,52.74,0.9839944678154392,21.75,3.72
potential_coef,1.0,3,0,200000,0.98,0.14,62.9,117.03,44.05,0.9831527972922622,20.11,4.54
potential_coef,2.0,3,0,200000,0.97,0.15,70.12,126.07,47.23,0.9820843274162114,23.84,6.46
potential_coef,5.0,3,0,200000,0.97,0.16,80.51,161.56,59.55,0.9837056818597988,26.63,4.31
step_cost,-5.0,3,0,200000,0.99,0.13,69.6,131.99,50.06,0.9794345556725197,27.24,5.06
step_cost,-2.0,3,0,200000,0.98,0.16,61.16,115.02,43.1,0.9828606629888794,21.71,4.58
step_cost,-1.0,3,0,200000,0.99,0.13,64.46,124.27,46.05,0.9845086096343004,23.66,4.11
step_cost,-0.5,3,0,200000,0.98,0.16,57.01,106.85,40.2,0.981637193045831,18.25,5.05
step_cost,-0.2,3,0,200000,0.99,0.16,67.58,130.22,48.87,0.9795123564409844,24.83,3.62
step_cost,-0.1,3,0,200000,0.99,0.14,61.71,116.13,43.6,0.981763195375628,20.0,4.93
step_cost,-0.05,3,0,200000,0.97,0.15,70.12,126.07,47.23,0.9820843274162114,23.84,6.46
step_cost,0.0,3,0,200000,0.98,0.15,63.03,120.15,44.82,0.9812416969789514,20.57,4.82
collide_obstacle,-100.0,3,0,200000,0.9,0.05,132.73,250.47,90.95,0.9884667436948514,19.35,4.97
collide_obstacle,-50.0,3,0,200000,0.96,0.1,111.86,213.69,77.97,0.9879946117577765,22.61,4.42
collide_obstacle,-20.0,3,0,200000,0.98,0.12,80.07,153.55,55.81,0.9855176063871092,19.87,3.96
collide_obstacle,-10.0,3,0,200000,0.99,0.14,68.58,130.72,48.18,0.9837314212131691,21.07,4.7
collide_obstacle,-5.0,3,0,200000,0.97,0.15,70.12,126.07,47.23,0.9820843274162114,23.84,6.46
collide_obstacle,-1.0,3,0,200000,0.98,0.14,60.01,115.04,42.8,0.9829815078192055,21.37,3.98
collide_obstacle,0.0,3,0,200000,0.99,0.15,63.63,121.62,45.32,0.9842852814534631,22.03,4.89
collide_robot,-100.0,3,0,200000,0.99,0.1,93.02,183.53,67.2,0.9882288228799304,23.72,3.82
collide_robot,-50.0,3,0,200000,0.98,0.15,75.38,149.32,55.37,0.9835492354198979,22.9,3.62
collide_robot,-20.0,3,0,200000,0.98,0.15,73.5,141.02,52.3,0.9846765568385564,23.87,3.94
collide_robot,-10.0,3,0,200000,0.99,0.14,65.63,124.6,45.9,0.9828165825545296,20.77,4.73
collide_robot,-5.0,3,0,200000,0.97,0.15,70.12,126.07,47.23,0.9820843274162114,23.84,6.46
collide_robot,-1.0,3,0,200000,0.99,0.13,59.4,114.29,43.06,0.9809897722665311,19.86,3.53
collide_robot,0.0,3,0,200000,0.97,0.12,72.84,136.7,50.88,0.9817541390771409,24.86,5.16
potential_coef,0.02,4,0,200000,0.0,0.0,300.0,753.93,210.15,0.9895621139304506,40.26,7.69
potential_coef,0.1,4,0,200000,0.12,0.0,288.37,754.28,209.46,0.9902898263074533,47.78,13.35
potential_coef,0.25,4,0,200000,0.58,0.03,217.87,578.65,158.17,0.9929818888429186,46.59,17.16
potential_coef,0.5,4,0,200000,0.85,0.09,151.21,393.95,109.32,0.9877799027270601,41.5,15.86
potential_coef,1.0,4,0,200000,0.91,0.08,126.65,325.96,90.6,0.98761362284775,44.1,14.52
potential_coef,2.0,4,0,200000,0.91,0.08,129.32,332.77,92.88,0.986606176267186,45.01,16.94
potential_coef,5.0,4,0,200000,0.83,0.06,165.68,454.75,123.58,0.9928239835242048,45.77,16.94
step_cost,-5.0,4,0,200000,0.94,0.07,108.35,278.13,77.0,0.987507842253895,41.81,14.78
step_cost,-2.0,4,0,200000,0.94,0.09,110.48,290.0,80.26,0.987766655178246,39.37,15.11
step_cost,-1.0,4,0,200000,0.89,0.07,125.11,322.6,89.78,0.9875614311404113,46.74,18.5
step_cost,-0.5,4,0,200000,0.92,0.07,124.25,319.47,88.23,0.9873287706975225,41.11,17.49
step_cost,-0.2,4,0,200000,0.89,0.08,125.37,318.64,88.52,0.9875530183449794,47.33,16.5
step_cost,-0.1,4,0,200000,0.9,0.08,123.99,313.76,87.23,0.9881549742938717,46.85,17.17
step_cost,-0.05,4,0,200000,0.91,0.08,129.32,332.77,92.88,0.986606176267186,45.01,16.94
step_cost,0.0,4,0,200000,0.85,0.09,128.16,322.86,89.95,0.9867688938559195,46.04,18.0
collide_obstacle,-100.0,4,0,200000,0.39,0.02,251.71,648.76,178.51,0.9920024418835959,41.64,17.45
collide_obstacle,-50.0,4,0,200000,0.81,0.06,165.47,411.81,113.46,0.9907581567429379,34.5,18.14
collide_obstacle,-20.0,4,0,200000,0.9,0.06,145.39,371.23,102.42,0.9892724125684447,41.86,16.53
