level,seed,method,success,steps,total_distance,n_valid_squares,obstacle_cells
sparse,20000,ppo,0.8888888888888888,124.66666666666667,254.33333333333334,201,16
sparse,20000,frontier,1.0,10.0,37.0,201,16
sparse,20001,ppo,1.0,40.111111111111114,94.11111111111111,186,17
sparse,20001,frontier,1.0,7.0,27.0,186,17
sparse,20002,ppo,1.0,55.0,129.33333333333334,198,14
sparse,20002,frontier,0.0,300.0,47.0,198,14
sparse,20003,ppo,1.0,33.0,78.77777777777777,187,19
sparse,20003,frontier,1.0,10.0,40.0,187,19
sparse,20004,ppo,1.0,70.22222222222223,159.55555555555554,183,18
sparse,20004,frontier,0.0,300.0,52.0,183,18
sparse,20005,ppo,1.0,44.888888888888886,107.66666666666667,174,19
sparse,20005,frontier,1.0,32.0,114.0,174,19
sparse,20006,ppo,1.0,67.33333333333333,132.11111111111111,201,19
sparse,20006,frontier,1.0,6.0,24.0,201,19
sparse,20007,ppo,1.0,54.22222222222222,140.77777777777777,178,17
sparse,20007,frontier,1.0,19.0,73.0,178,17
sparse,20008,ppo,1.0,33.888888888888886,92.88888888888889,173,16
sparse,20008,frontier,0.0,300.0,42.0,173,16
sparse,20009,ppo,1.0,43.111111111111114,119.11111111111111,178,21
sparse,20009,frontier,1.0,36.0,138.0,178,21
sparse,20010,ppo,1.0,24.88888888888889,70.33333333333333,209,12
sparse,20010,frontier,1.0,7.0,25.0,209,12
sparse,20011,ppo,1.0,26.444444444444443,66.44444444444444,200,14
sparse,20011,frontier,1.0,5.0,18.0,200,14
sparse,20012,ppo,1.0,36.22222222222222,104.66666666666667,218,15
sparse,20012,frontier,1.0,14.0,53.0,218,15
sparse,20013,ppo,1.0,22.77777777777778,60.22222222222222,169,16
sparse,20013,frontier,0.0,300.0,34.0,169,16
sparse,20014,ppo,1.0,69.11111111111111,158.66666666666666,180,16
sparse,20014,frontier,0.0,300.0,42.0,180,16
sparse,20015,ppo,1.0,37.55555555555556,93.88888888888889,174,19
sparse,20015,frontier,1.0,13.0,46.0,174,19
sparse,20016,ppo,1.0,31.11111111111111,69.55555555555556,193,14
sparse,20016,frontier,1.0,7.0,24.0,193,14
sparse,20017,ppo,1.0,81.88888888888889,161.55555555555554,186,17
sparse,20017,frontier,1.0,14.0,38.0,186,17
sparse,20018,ppo,1.0,54.44444444444444,128.44444444444446,171,19
sparse,20018,frontier,1.0,9.0,36.0,171,19
sparse,20019,ppo,1.0,62.0,152.66666666666666,184,22
sparse,20019,frontier,1.0,11.0,44.0,184,22
baseline,20000,ppo,0.8888888888888888,114.11111111111111,246.22222222222223,178,30
baseline,20000,frontier,1.0,17.0,65.0,178,30
baseline,20001,ppo,1.0,85.33333333333333,173.11111111111111,160,35
baseline,20001,frontier,1.0,10.0,37.0,160,35
baseline,20002,ppo,1.0,83.0,185.77777777777777,176,23
baseline,20002,frontier,1.0,22.0,71.0,176,23
baseline,20003,ppo,0.8888888888888888,85.88888888888889,171.88888888888889,158,36
baseline,20003,frontier,0.0,300.0,72.0,158,36
baseline,20004,ppo,0.8888888888888888,161.66666666666666,299.22222222222223,178,23
baseline,20004,frontier,1.0,12.0,46.0,178,23
baseline,20005,ppo,1.0,70.77777777777777,139.0,167,20
baseline,20005,frontier,1.0,27.0,100.0,167,20
baseline,20006,ppo,1.0,39.77777777777778,82.55555555555556,185,31
baseline,20006,frontier,1.0,6.0,16.0,185,31
baseline,20007,ppo,1.0,44.111111111111114,97.0,165,30
baseline,20007,frontier,1.0,8.0,29.0,165,30
baseline,20008,ppo,1.0,36.888888888888886,92.55555555555556,161,29
baseline,20008,frontier,0.0,300.0,21.0,161,29
baseline,20009,ppo,1.0,71.22222222222223,134.77777777777777,175,29
baseline,20009,frontier,0.0,300.0,15.0,175,29
baseline,20010,ppo,1.0,30.444444444444443,80.33333333333333,183,21
baseline,20010,frontier,1.0,11.0,25.0,183,21
baseline,20011,ppo,1.0,27.333333333333332,74.0,179,25
baseline,20011,frontier,1.0,10.0,31.0,179,25
baseline,20012,ppo,1.0,19.11111111111111,56.22222222222222,173,36
baseline,20012,frontier,1.0,7.0,24.0,173,36
baseline,20013,ppo,1.0,87.0,167.55555555555554,165,34
baseline,20013,frontier,1.0,9.0,31.0,165,34
baseline,20014,ppo,1.0,34.333333333333336,87.88888888888889,137,36
baseline,20014,frontier,1.0,11.0,42.0,137,36
