level,seed,method,success,steps,total_distance,n_valid_squares,obstacle_cells
sparse,20000,ppo,0.8888888888888888,124.88888888888889,246.11111111111111,201,16
sparse,20000,frontier,1.0,10.0,37.0,201,16
sparse,20001,ppo,1.0,70.88888888888889,152.33333333333334,186,17
sparse,20001,frontier,1.0,7.0,27.0,186,17
sparse,20002,ppo,1.0,66.77777777777777,142.11111111111111,198,14
sparse,20002,frontier,0.0,300.0,47.0,198,14
sparse,20003,ppo,1.0,30.22222222222222,74.11111111111111,187,19
sparse,20003,frontier,1.0,10.0,40.0,187,19
sparse,20004,ppo,1.0,77.44444444444444,156.88888888888889,183,18
sparse,20004,frontier,0.0,300.0,52.0,183,18
sparse,20005,ppo,1.0,56.55555555555556,122.0,174,19
sparse,20005,frontier,1.0,32.0,114.0,174,19
sparse,20006,ppo,1.0,54.666666666666664,94.22222222222223,201,19
sparse,20006,frontier,1.0,6.0,24.0,201,19
sparse,20007,ppo,1.0,42.55555555555556,109.55555555555556,178,17
sparse,20007,frontier,1.0,19.0,73.0,178,17
sparse,20008,ppo,1.0,33.22222222222222,83.66666666666667,173,16
sparse,20008,frontier,0.0,300.0,42.0,173,16
sparse,20009,ppo,1.0,98.22222222222223,214.33333333333334,178,21
sparse,20009,frontier,1.0,36.0,138.0,178,21
sparse,20010,ppo,1.0,21.88888888888889,60.666666666666664,209,12
sparse,20010,frontier,1.0,7.0,25.0,209,12
sparse,20011,ppo,1.0,17.22222222222222,43.55555555555556,200,14
sparse,20011,frontier,1.0,5.0,18.0,200,14
sparse,20012,ppo,1.0,36.333333333333336,103.22222222222223,218,15
sparse,20012,frontier,1.0,14.0,53.0,218,15
sparse,20013,ppo,1.0,26.0,67.0,169,16
sparse,20013,frontier,0.0,300.0,34.0,169,16
sparse,20014,ppo,1.0,35.333333333333336,84.22222222222223,180,16
sparse,20014,frontier,0.0,300.0,42.0,180,16
sparse,20015,ppo,1.0,31.333333333333332,80.33333333333333,174,19
sparse,20015,frontier,1.0,13.0,46.0,174,19
sparse,20016,ppo,1.0,35.22222222222222,72.77777777777777,193,14
sparse,20016,frontier,1.0,7.0,24.0,193,14
sparse,20017,ppo,1.0,55.111111111111114,117.88888888888889,186,17
sparse,20017,frontier,1.0,14.0,38.0,186,17
sparse,20018,ppo,0.8888888888888888,58.666666666666664,121.33333333333333,171,19
sparse,20018,frontier,1.0,9.0,36.0,171,19
sparse,20019,ppo,1.0,48.0,122.88888888888889,184,22
sparse,20019,frontier,1.0,11.0,44.0,184,22
baseline,20000,ppo,0.8888888888888888,129.11111111111111,251.77777777777777,178,30
baseline,20000,frontier,1.0,17.0,65.0,178,30
baseline,20001,ppo,1.0,57.666666666666664,117.22222222222223,160,35
baseline,20001,frontier,1.0,10.0,37.0,160,35
baseline,20002,ppo,1.0,89.33333333333333,171.22222222222223,176,23
baseline,20002,frontier,1.0,22.0,71.0,176,23
baseline,20003,ppo,0.8888888888888888,119.0,222.0,158,36
baseline,20003,frontier,0.0,300.0,72.0,158,36
baseline,20004,ppo,1.0,114.77777777777777,195.88888888888889,178,23
baseline,20004,frontier,1.0,12.0,46.0,178,23
baseline,20005,ppo,1.0,89.22222222222223,164.33333333333334,167,20
baseline,20005,frontier,1.0,27.0,100.0,167,20
baseline,20006,ppo,1.0,14.0,38.0,185,31
baseline,20006,frontier,1.0,6.0,16.0,185,31
baseline,20007,ppo,1.0,17.666666666666668,44.333333333333336,165,30
baseline,20007,frontier,1.0,8.0,29.0,165,30
baseline,20008,ppo,1.0,27.11111111111111,70.11111111111111,161,29
baseline,20008,frontier,0.0,300.0,21.0,161,29
baseline,20009,ppo,1.0,132.77777777777777,197.44444444444446,175,29
baseline,20009,frontier,0.0,300.0,15.0,175,29
baseline,20010,ppo,1.0,49.0,107.0,183,21
baseline,20010,frontier,1.0,11.0,25.0,183,21
baseline,20011,ppo,1.0,22.444444444444443,62.77777777777778,179,25
baseline,20011,frontier,1.0,10.0,31.0,179,25
baseline,20012,ppo,1.0,23.11111111111111,63.333333333333336,173,36
baseline,20012,frontier,1.0,7.0,24.0,173,36
baseline,20013,ppo,1.0,94.11111111111111,172.0,165,34
baseline,20013,frontier,1.0,9.0,31.0,165,34
baseline,20014,ppo,1.0,44.44444444444444,98.66666666666667,137,36
baseline,20014,frontier,1.0,11.0,42.0,137,36
baseline,20015,ppo,1.0,102.55555555555556,199.44444444444446,168,25
baseline,20015,frontier,1.0,50.0,83.0,168,25
