map,map_seed,num_dyn,train_seed,sample,success,steps,total_distance
1,10000,1,0,0,1,201,411
1,10000,1,0,1,1,117,231
1,10000,1,0,2,1,268,514
1,10000,1,0,3,0,300,499
1,10000,1,0,4,1,38,111
1,10000,1,1,0,1,70,154
1,10000,1,1,1,1,270,458
1,10000,1,1,2,0,300,409
1,10000,1,1,3,1,80,186
1,10000,1,1,4,1,60,152
1,10000,1,2,0,1,97,223
1,10000,1,2,1,1,159,325
1,10000,1,2,2,1,131,264
1,10000,1,2,3,1,77,188
1,10000,1,2,4,1,91,212
1,10000,0,0,0,1,171,354
1,10000,0,0,1,1,117,231
1,10000,0,0,2,1,128,249
1,10000,0,0,3,1,294,489
1,10000,0,0,4,1,159,278
1,10000,0,1,0,1,70,151
1,10000,0,1,1,1,270,458
1,10000,0,1,2,0,300,429
1,10000,0,1,3,1,74,177
1,10000,0,1,4,1,60,150
1,10000,0,2,0,1,87,200
1,10000,0,2,1,1,159,325
1,10000,0,2,2,1,200,371
1,10000,0,2,3,1,113,273
1,10000,0,2,4,1,71,170
2,10001,2,0,0,1,146,329
2,10001,2,0,1,1,44,101
2,10001,2,0,2,1,47,128
2,10001,2,0,3,1,50,128
2,10001,2,0,4,1,97,202
2,10001,2,1,0,1,41,115
2,10001,2,1,1,1,42,94
2,10001,2,1,2,1,73,143
2,10001,2,1,3,1,127,241
2,10001,2,1,4,1,275,591
2,10001,2,2,0,1,80,204
2,10001,2,2,1,1,80,171
2,10001,2,2,2,1,57,155
2,10001,2,2,3,1,142,320
2,10001,2,2,4,1,56,161
2,10001,0,0,0,1,71,181
2,10001,0,0,1,1,43,100
2,10001,0,0,2,1,47,131
2,10001,0,0,3,1,50,128
2,10001,0,0,4,1,112,231
2,10001,0,1,0,1,41,115
2,10001,0,1,1,1,53,116
2,10001,0,1,2,1,36,97
2,10001,0,1,3,1,52,124
2,10001,0,1,4,1,221,442
2,10001,0,2,0,1,80,204
2,10001,0,2,1,1,76,170
2,10001,0,2,2,1,54,141
2,10001,0,2,3,1,50,124
2,10001,0,2,4,1,148,368
3,10002,3,0,0,1,114,265
3,10002,3,0,1,1,155,252
3,10002,3,0,2,1,201,379
3,10002,3,0,3,1,112,215
3,10002,3,0,4,1,285,444
3,10002,3,1,0,1,46,119
3,10002,3,1,1,1,162,201
3,10002,3,1,2,1,90,207
3,10002,3,1,3,0,300,459
3,10002,3,1,4,1,266,454
3,10002,3,2,0,1,84,228
3,10002,3,2,1,1,65,151
3,10002,3,2,2,1,102,246
3,10002,3,2,3,0,300,585
3,10002,3,2,4,1,69,159
3,10002,0,0,0,1,83,208
3,10002,0,0,1,1,87,171
3,10002,0,0,2,1,55,140
3,10002,0,0,3,1,131,223
3,10002,0,0,4,1,156,276
3,10002,0,1,0,1,56,144
3,10002,0,1,1,1,162,201
3,10002,0,1,2,1,55,134
3,10002,0,1,3,1,48,120
3,10002,0,1,4,1,277,461
3,10002,0,2,0,1,57,162
3,10002,0,2,1,1,65,151
3,10002,0,2,2,1,102,249
3,10002,0,2,3,1,222,426
3,10002,0,2,4,1,74,171
4,10003,4,0,0,1,72,161
4,10003,4,0,1,1,233,403
4,10003,4,0,2,1,184,338
4,10003,4,0,3,1,266,520
4,10003,4,0,4,0,300,466
4,10003,4,1,0,1,76,164
4,10003,4,1,1,1,114,243
4,10003,4,1,2,1,157,280
4,10003,4,1,3,1,204,342
4,10003,4,1,4,1,79,172
4,10003,4,2,0,0,300,513
4,10003,4,2,1,1,68,157
4,10003,4,2,2,0,300,527
4,10003,4,2,3,1,98,228
4,10003,4,2,4,1,177,334
4,10003,0,0,0,1,72,161
4,10003,0,0,1,1,228,408
4,10003,0,0,2,0,300,593
4,10003,0,0,3,0,300,569
4,10003,0,0,4,1,71,170
4,10003,0,1,0,1,210,320
4,10003,0,1,1,1,206,434
4,10003,0,1,2,1,175,318
4,10003,0,1,3,1,204,342
4,10003,0,1,4,1,253,410
4,10003,0,2,0,0,300,545
4,10003,0,2,1,1,80,185
4,10003,0,2,2,1,180,304
4,10003,0,2,3,1,82,193
4,10003,0,2,4,1,129,260
