config,n,m,method,heuristic,train_seed,episode,sample,steps,per_robot_distances,worst_share_rho0,worst_share_rho0.25,worst_share_rho0.5,worst_share_rho0.75,worst_share_rho1,jainE_rho0,jainE_rho0.25,jainE_rho0.5,jainE_rho0.75,jainE_rho1
N2_M20,2,20,ppo,,0,0,0,34,"[26, 21]",1.1064,1.0718,1.0435,1.0199,1.0,0.9888,0.9949,0.9981,0.9996,1.0
N2_M20,2,20,ppo,,0,0,1,13,"[11, 10]",1.0476,1.0337,1.0213,1.0101,1.0,0.9977,0.9989,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,0,2,11,"[11, 8]",1.1579,1.1139,1.0732,1.0353,1.0,0.9757,0.9872,0.9947,0.9988,1.0
N2_M20,2,20,ppo,,0,0,3,10,"[8, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,0,4,13,"[11, 9]",1.1,1.0698,1.0435,1.0204,1.0,0.9901,0.9952,0.9981,0.9996,1.0
N2_M20,2,20,ppo,,0,1,0,10,"[9, 10]",1.0526,1.039,1.0256,1.0127,1.0,0.9972,0.9985,0.9993,0.9998,1.0
N2_M20,2,20,ppo,,0,1,1,11,"[10, 10]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,1,2,11,"[9, 10]",1.0526,1.038,1.0244,1.0118,1.0,0.9972,0.9986,0.9994,0.9999,1.0
N2_M20,2,20,ppo,,0,1,3,15,"[14, 13]",1.037,1.027,1.0175,1.0085,1.0,0.9986,0.9993,0.9997,0.9999,1.0
N2_M20,2,20,ppo,,0,1,4,24,"[13, 19]",1.1875,1.125,1.075,1.0341,1.0,0.966,0.9846,0.9944,0.9988,1.0
N2_M20,2,20,ppo,,0,2,0,22,"[19, 15]",1.1176,1.0822,1.0513,1.0241,1.0,0.9863,0.9933,0.9974,0.9994,1.0
N2_M20,2,20,ppo,,0,2,1,91,"[30, 32]",1.0323,1.0163,1.0082,1.0033,1.0,0.999,0.9997,0.9999,1.0,1.0
N2_M20,2,20,ppo,,0,2,2,52,"[24, 36]",1.2,1.1268,1.0732,1.0323,1.0,0.9615,0.9842,0.9947,0.999,1.0
N2_M20,2,20,ppo,,0,2,3,31,"[28, 20]",1.1667,1.1165,1.0727,1.0342,1.0,0.973,0.9866,0.9947,0.9988,1.0
N2_M20,2,20,ppo,,0,2,4,205,"[70, 106]",1.2045,1.1151,1.0614,1.0256,1.0,0.9598,0.9869,0.9962,0.9993,1.0
N2_M20,2,20,ppo,,0,3,0,57,"[20, 43]",1.3651,1.2277,1.1299,1.0568,1.0,0.8824,0.9507,0.9834,0.9968,1.0
N2_M20,2,20,ppo,,0,3,1,22,"[10, 20]",1.3333,1.2239,1.1351,1.0617,1.0,0.9,0.9523,0.9821,0.9962,1.0
N2_M20,2,20,ppo,,0,3,2,19,"[15, 17]",1.0625,1.0448,1.0286,1.0137,1.0,0.9961,0.998,0.9992,0.9998,1.0
N2_M20,2,20,ppo,,0,3,3,11,"[10, 9]",1.0526,1.038,1.0244,1.0118,1.0,0.9972,0.9986,0.9994,0.9999,1.0
N2_M20,2,20,ppo,,0,3,4,13,"[9, 10]",1.0526,1.0361,1.0222,1.0103,1.0,0.9972,0.9987,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,4,0,18,"[9, 11]",1.1,1.0625,1.0357,1.0156,1.0,0.9901,0.9961,0.9987,0.9998,1.0
N2_M20,2,20,ppo,,0,4,1,14,"[12, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,4,2,11,"[8, 9]",1.0588,1.0411,1.0256,1.012,1.0,0.9966,0.9983,0.9993,0.9999,1.0
N2_M20,2,20,ppo,,0,4,3,13,"[6, 9]",1.2,1.1268,1.0732,1.0323,1.0,0.9615,0.9842,0.9947,0.999,1.0
N2_M20,2,20,ppo,,0,4,4,19,"[12, 13]",1.04,1.0265,1.0159,1.0072,1.0,0.9984,0.9993,0.9997,0.9999,1.0
N2_M20,2,20,ppo,,0,5,0,59,"[27, 25]",1.0385,1.0219,1.0118,1.0049,1.0,0.9985,0.9995,0.9999,1.0,1.0
N2_M20,2,20,ppo,,0,5,1,24,"[19, 17]",1.0556,1.0385,1.0238,1.0111,1.0,0.9969,0.9985,0.9994,0.9999,1.0
N2_M20,2,20,ppo,,0,5,2,15,"[10, 11]",1.0476,1.0323,1.0196,1.009,1.0,0.9977,0.999,0.9996,0.9999,1.0
N2_M20,2,20,ppo,,0,5,3,65,"[42, 24]",1.2727,1.1646,1.0918,1.0395,1.0,0.9308,0.9736,0.9916,0.9984,1.0
N2_M20,2,20,ppo,,0,5,4,24,"[14, 16]",1.0667,1.0435,1.0256,1.0115,1.0,0.9956,0.9981,0.9993,0.9999,1.0
N2_M20,2,20,ppo,,0,6,0,7,"[7, 4]",1.2727,1.1915,1.12,1.0566,1.0,0.9308,0.9646,0.9858,0.9968,1.0
N2_M20,2,20,ppo,,0,6,1,3,"[3, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
