config,n,m,method,heuristic,train_seed,episode,sample,steps,per_robot_distances,worst_share_rho0,worst_share_rho0.25,worst_share_rho0.5,worst_share_rho0.75,worst_share_rho1,jainE_rho0,jainE_rho0.25,jainE_rho0.5,jainE_rho0.75,jainE_rho1
N2_M20,2,20,ppo,,0,0,0,15,"[7, 13]",1.3,1.2,1.12,1.0545,1.0,0.9174,0.9615,0.9858,0.997,1.0
N2_M20,2,20,ppo,,0,0,1,15,"[9, 12]",1.1429,1.0968,1.0588,1.027,1.0,0.98,0.9907,0.9966,0.9993,1.0
N2_M20,2,20,ppo,,0,0,2,12,"[12, 9]",1.1429,1.1034,1.0667,1.0323,1.0,0.98,0.9894,0.9956,0.999,1.0
N2_M20,2,20,ppo,,0,0,3,16,"[13, 9]",1.1818,1.1224,1.0741,1.0339,1.0,0.968,0.9852,0.9945,0.9989,1.0
N2_M20,2,20,ppo,,0,0,4,17,"[12, 13]",1.04,1.0275,1.0169,1.0079,1.0,0.9984,0.9992,0.9997,0.9999,1.0
N2_M20,2,20,ppo,,0,1,0,20,"[12, 15]",1.1111,1.0744,1.0448,1.0204,1.0,0.9878,0.9945,0.998,0.9996,1.0
N2_M20,2,20,ppo,,0,1,1,20,"[16, 13]",1.1034,1.0709,1.0435,1.0201,1.0,0.9894,0.995,0.9981,0.9996,1.0
N2_M20,2,20,ppo,,0,1,2,12,"[10, 10]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,1,3,31,"[26, 19]",1.1556,1.1066,1.0654,1.0303,1.0,0.9764,0.9888,0.9957,0.9991,1.0
N2_M20,2,20,ppo,,0,1,4,17,"[12, 12]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,2,0,41,"[28, 23]",1.098,1.0638,1.0376,1.0168,1.0,0.9905,0.9959,0.9986,0.9997,1.0
N2_M20,2,20,ppo,,0,2,1,48,"[21, 20]",1.0244,1.0137,1.0073,1.003,1.0,0.9994,0.9998,0.9999,1.0,1.0
N2_M20,2,20,ppo,,0,2,2,45,"[19, 31]",1.24,1.15,1.0857,1.0375,1.0,0.9455,0.978,0.9927,0.9986,1.0
N2_M20,2,20,ppo,,0,2,3,32,"[29, 18]",1.234,1.161,1.0991,1.046,1.0,0.9481,0.9747,0.9903,0.9979,1.0
N2_M20,2,20,ppo,,0,2,4,91,"[22, 30]",1.1538,1.071,1.0342,1.0134,1.0,0.9769,0.995,0.9988,0.9998,1.0
N2_M20,2,20,ppo,,0,3,0,14,"[9, 12]",1.1429,1.0989,1.0612,1.0286,1.0,0.98,0.9903,0.9963,0.9992,1.0
N2_M20,2,20,ppo,,0,3,1,11,"[10, 11]",1.0476,1.0353,1.0233,1.0115,1.0,0.9977,0.9988,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,3,2,12,"[10, 11]",1.0476,1.0345,1.0222,1.0108,1.0,0.9977,0.9988,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,3,3,12,"[12, 9]",1.1429,1.1034,1.0667,1.0323,1.0,0.98,0.9894,0.9956,0.999,1.0
N2_M20,2,20,ppo,,0,3,4,15,"[11, 12]",1.0435,1.0303,1.0189,1.0088,1.0,0.9981,0.9991,0.9996,0.9999,1.0
N2_M20,2,20,ppo,,0,4,0,13,"[8, 9]",1.0588,1.039,1.0233,1.0105,1.0,0.9966,0.9985,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,4,1,10,"[8, 8]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,4,2,11,"[8, 10]",1.1111,1.0789,1.05,1.0238,1.0,0.9878,0.9938,0.9975,0.9994,1.0
N2_M20,2,20,ppo,,0,4,3,10,"[3, 9]",1.5,1.3214,1.1875,1.0833,1.0,0.8,0.9064,0.966,0.9931,1.0
N2_M20,2,20,ppo,,0,4,4,9,"[5, 8]",1.2308,1.1579,1.0968,1.0448,1.0,0.9494,0.9757,0.9907,0.998,1.0
N2_M20,2,20,ppo,,0,5,0,57,"[26, 21]",1.1064,1.0588,1.0311,1.0129,1.0,0.9888,0.9966,0.999,0.9998,1.0
N2_M20,2,20,ppo,,0,5,1,12,"[7, 11]",1.2222,1.1538,1.0952,1.0444,1.0,0.9529,0.9769,0.991,0.998,1.0
N2_M20,2,20,ppo,,0,5,2,113,"[50, 47]",1.0309,1.0174,1.0093,1.0039,1.0,0.999,0.9997,0.9999,1.0,1.0
N2_M20,2,20,ppo,,0,5,3,60,"[33, 27]",1.1,1.06,1.0333,1.0143,1.0,0.9901,0.9964,0.9989,0.9998,1.0
N2_M20,2,20,ppo,,0,5,4,21,"[10, 18]",1.2857,1.1905,1.1143,1.0519,1.0,0.9245,0.965,0.9871,0.9973,1.0
N2_M20,2,20,ppo,,0,6,0,6,"[6, 5]",1.0909,1.0667,1.0435,1.0213,1.0,0.9918,0.9956,0.9981,0.9995,1.0
N2_M20,2,20,ppo,,0,6,1,3,"[3, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,6,2,4,"[4, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,6,3,5,"[5, 4]",1.1111,1.0811,1.0526,1.0256,1.0,0.9878,0.9935,0.9972,0.9993,1.0
N2_M20,2,20,ppo,,0,6,4,5,"[3, 5]",1.25,1.1765,1.1111,1.0526,1.0,0.9412,0.9698,0.9878,0.9972,1.0
N2_M20,2,20,ppo,,0,7,0,8,"[7, 4]",1.2727,1.1837,1.1111,1.0508,1.0,0.9308,0.9674,0.9878,0.9974,1.0
N2_M20,2,20,ppo,,0,7,1,14,"[11, 10]",1.0476,1.033,1.0204,1.0095,1.0,0.9977,0.9989,0.9996,0.9999,1.0
N2_M20,2,20,ppo,,0,7,2,18,"[15, 9]",1.25,1.1667,1.1,1.0455,1.0,0.9412,0.973,0.9901,0.9979,1.0
N2_M20,2,20,ppo,,0,7,3,6,"[6, 3]",1.3333,1.2308,1.1429,1.0667,1.0,0.9,0.9494,0.98,0.9956,1.0
N2_M20,2,20,ppo,,0,7,4,6,"[6, 3]",1.3333,1.2308,1.1429,1.0667,1.0,0.9,0.9494,0.98,0.9956,1.0
N2_M20,2,20,ppo,,0,8,0,33,"[24, 18]",1.1429,1.0938,1.0556,1.025,1.0,0.98,0.9913,0.9969,0.9994,1.0
N2_M20,2,20,ppo,,0,8,1,17,"[9, 11]",1.1,1.0638,1.037,1.0164,1.0,0.9901,0.9959,0.9986,0.9997,1.0
N2_M20,2,20,ppo,,0,8,2,21,"[13, 12]",1.04,1.0256,1.0149,1.0066,1.0,0.9984,0.9993,0.9998,1.0,1.0
N2_M20,2,20,ppo,,0,8,3,16,"[10, 8]",1.1111,1.0698,1.04,1.0175,1.0,0.9878,0.9952,0.9984,0.9997,1.0
N2_M20,2,20,ppo,,0,8,4,37,"[19, 22]",1.0732,1.0457,1.0261,1.0114,1.0,0.9947,0.9979,0.9993,0.9999,1.0
N2_M20,2,20,ppo,,0,9,0,19,"[11, 2]",1.6923,1.3506,1.1765,1.0709,1.0,0.676,0.8905,0.9698,0.995,1.0
N2_M20,2,20,ppo,,0,9,1,32,"[21, 18]",1.0769,1.0497,1.0291,1.013,1.0,0.9941,0.9975,0.9992,0.9998,1.0
N2_M20,2,20,ppo,,0,9,2,15,"[10, 11]",1.0476,1.0323,1.0196,1.009,1.0,0.9977,0.999,0.9996,0.9999,1.0
N2_M20,2,20,ppo,,0,9,3,6,"[6, 6]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,9,4,27,"[12, 14]",1.0769,1.0455,1.025,1.0106,1.0,0.9941,0.9979,0.9994,0.9999,1.0
N2_M20,2,20,ppo,,0,10,0,8,"[5, 2]",1.4286,1.2432,1.1304,1.0545,1.0,0.8448,0.9441,0.9833,0.997,1.0
N2_M20,2,20,ppo,,0,10,1,3,"[2, 1]",1.3333,1.2,1.1111,1.0476,1.0,0.9,0.9615,0.9878,0.9977,1.0
N2_M20,2,20,ppo,,0,10,2,2,"[2, 2]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,10,3,6,"[3, 1]",1.5,1.25,1.125,1.05,1.0,0.8,0.9412,0.9846,0.9975,1.0
N2_M20,2,20,ppo,,0,10,4,7,"[3, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,11,0,10,"[6, 6]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,11,1,5,"[2, 5]",1.4286,1.2903,1.1765,1.0811,1.0,0.8448,0.9223,0.9698,0.9935,1.0
N2_M20,2,20,ppo,,0,11,2,5,"[3, 4]",1.1429,1.0968,1.0588,1.027,1.0,0.98,0.9907,0.9966,0.9993,1.0
N2_M20,2,20,ppo,,0,11,3,4,"[3, 4]",1.1429,1.1034,1.0667,1.0323,1.0,0.98,0.9894,0.9956,0.999,1.0
N2_M20,2,20,ppo,,0,11,4,3,"[3, 3]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,12,0,30,"[18, 16]",1.0588,1.037,1.0213,1.0093,1.0,0.9966,0.9986,0.9995,0.9999,1.0
N2_M20,2,20,ppo,,0,12,1,64,"[32, 26]",1.1034,1.0596,1.0323,1.0136,1.0,0.9894,0.9965,0.999,0.9998,1.0
N2_M20,2,20,ppo,,0,12,2,45,"[22, 23]",1.0222,1.0133,1.0074,1.0032,1.0,0.9995,0.9998,0.9999,1.0,1.0
N2_M20,2,20,ppo,,0,12,3,14,"[11, 3]",1.5714,1.3429,1.1905,1.0816,1.0,0.7538,0.8948,0.965,0.9934,1.0
N2_M20,2,20,ppo,,0,12,4,12,"[9, 5]",1.2857,1.1818,1.1053,1.0465,1.0,0.9245,0.968,0.989,0.9978,1.0
N2_M20,2,20,ppo,,0,13,0,63,"[26, 27]",1.0189,1.0105,1.0056,1.0023,1.0,0.9996,0.9999,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,13,1,22,"[18, 16]",1.0588,1.0411,1.0256,1.012,1.0,0.9966,0.9983,0.9993,0.9999,1.0
N2_M20,2,20,ppo,,0,13,2,19,"[14, 18]",1.125,1.0896,1.0571,1.0274,1.0,0.9846,0.992,0.9967,0.9992,1.0
N2_M20,2,20,ppo,,0,13,3,53,"[31, 24]",1.1273,1.0775,1.0435,1.0188,1.0,0.9841,0.994,0.9981,0.9996,1.0
N2_M20,2,20,ppo,,0,13,4,30,"[17, 22]",1.1282,1.0847,1.0505,1.0228,1.0,0.9838,0.9929,0.9975,0.9995,1.0
N2_M20,2,20,ppo,,0,14,0,12,"[3, 12]",1.6,1.3913,1.2308,1.1034,1.0,0.7353,0.8672,0.9494,0.9894,1.0
N2_M20,2,20,ppo,,0,14,1,14,"[2, 12]",1.7143,1.4286,1.2381,1.102,1.0,0.6622,0.8448,0.9464,0.9897,1.0
N2_M20,2,20,ppo,,0,14,2,16,"[4, 14]",1.5556,1.3488,1.2,1.0877,1.0,0.7642,0.8915,0.9615,0.9924,1.0
N2_M20,2,20,ppo,,0,14,3,7,"[5, 7]",1.1667,1.12,1.0769,1.037,1.0,0.973,0.9858,0.9941,0.9986,1.0
N2_M20,2,20,ppo,,0,14,4,12,"[4, 11]",1.4667,1.3043,1.1795,1.0805,1.0,0.8212,0.9152,0.9688,0.9936,1.0
N2_M20,2,20,ppo,,0,15,0,45,"[9, 27]",1.5,1.2727,1.1429,1.0588,1.0,0.8,0.9308,0.98,0.9966,1.0
N2_M20,2,20,ppo,,0,15,1,24,"[12, 18]",1.2,1.1304,1.0769,1.0345,1.0,0.9615,0.9833,0.9941,0.9988,1.0
N2_M20,2,20,ppo,,0,15,2,23,"[15, 18]",1.0909,1.0621,1.038,1.0175,1.0,0.9918,0.9962,0.9986,0.9997,1.0
N2_M20,2,20,ppo,,0,15,3,93,"[36, 46]",1.122,1.0694,1.0373,1.0156,1.0,0.9853,0.9952,0.9986,0.9998,1.0
N2_M20,2,20,ppo,,0,15,4,38,"[17, 13]",1.1333,1.0723,1.0377,1.0155,1.0,0.9825,0.9948,0.9986,0.9998,1.0
N2_M20,2,20,ppo,,0,16,0,6,"[6, 4]",1.2,1.1429,1.0909,1.0435,1.0,0.9615,0.98,0.9918,0.9981,1.0
N2_M20,2,20,ppo,,0,16,1,5,"[5, 3]",1.25,1.1765,1.1111,1.0526,1.0,0.9412,0.9698,0.9878,0.9972,1.0
N2_M20,2,20,ppo,,0,16,2,5,"[4, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,16,3,4,"[4, 4]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N2_M20,2,20,ppo,,0,16,4,8,"[8, 6]",1.1429,1.1034,1.0667,1.0323,1.0,0.98,0.9894,0.9956,0.999,1.0
N2_M20,2,20,ppo,,0,17,0,7,"[5, 6]",1.0909,1.0638,1.04,1.0189,1.0,0.9918,0.9959,0.9984,0.9996,1.0
