method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,2,20,0,0,1.0,20.2,25.8,14.2,0.6896019801980164
astar,median,2,20,-1,0,True,25,23,12,
astar,component,2,20,-1,0,True,23,31,16,
astar,bbox,2,20,-1,0,True,25,23,12,
ppo,,2,20,0,1,1.0,18.2,24.6,15.2,0.502047252747251
astar,median,2,20,-1,1,True,12,23,12,
astar,component,2,20,-1,1,True,42,65,34,
astar,bbox,2,20,-1,1,True,12,23,12,
ppo,,2,20,0,2,1.0,87.6,73.4,44.0,0.46476849315068514
astar,median,2,20,-1,2,True,35,22,12,
astar,component,2,20,-1,2,True,22,27,14,
astar,bbox,2,20,-1,2,True,9,15,8,
ppo,,2,20,0,3,1.0,36.6,39.6,23.2,0.4741180327868843
astar,median,2,20,-1,3,True,15,23,14,
astar,component,2,20,-1,3,True,31,36,19,
astar,bbox,2,20,-1,3,True,15,23,14,
ppo,,2,20,0,4,1.0,14.6,20.0,12.4,0.534983561643836
astar,median,2,20,-1,4,True,6,12,6,
astar,component,2,20,-1,4,True,22,29,19,
astar,bbox,2,20,-1,4,True,6,12,6,
ppo,,2,20,0,5,1.0,76.6,72.2,41.6,0.46007441253263703
astar,median,2,20,-1,5,True,14,20,11,
astar,component,2,20,-1,5,True,21,24,13,
astar,bbox,2,20,-1,5,True,14,20,11,
ppo,,2,20,0,6,1.0,5.4,9.4,5.4,0.7441592592592575
astar,median,2,20,-1,6,True,3,6,3,
astar,component,2,20,-1,6,True,8,10,7,
astar,bbox,2,20,-1,6,True,3,6,3,
ppo,,2,20,0,7,1.0,13.4,16.2,10.4,0.5090373134328343
astar,median,2,20,-1,7,True,3,6,3,
astar,component,2,20,-1,7,True,9,12,8,
astar,bbox,2,20,-1,7,True,3,6,3,
ppo,,2,20,0,8,1.0,15.8,21.8,12.8,0.5060848101265778
astar,median,2,20,-1,8,True,29,13,8,
astar,component,2,20,-1,8,True,15,15,9,
astar,bbox,2,20,-1,8,True,29,13,8,
ppo,,2,20,0,9,1.0,22.8,25.0,15.4,0.4857377192982445
astar,median,2,20,-1,9,True,4,8,4,
astar,component,2,20,-1,9,True,31,14,8,
