method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
ppo,,2,20,0,0,1.0,0.4,16.2,24.6,13.4,0.9904643105582576,1.4,0.0,0.24987672840785466
astar,median,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,
astar,component,2,20,-1,0,True,False,23,31,16,0.998960498960499,2,0,
astar,bbox,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,
ppo,,2,20,0,1,1.0,0.8,14.2,23.4,12.6,0.9918286021913809,0.8,0.0,0.23817387327525608
astar,median,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,
astar,component,2,20,-1,1,True,False,42,65,34,0.9978743504959848,1,0,
astar,bbox,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,
ppo,,2,20,0,2,1.0,0.0,80.2,76.0,44.2,0.9759322809752519,46.0,0.0,0.1944686185122651
astar,median,2,20,-1,2,True,False,35,22,12,0.9918032786885246,6,0,
astar,component,2,20,-1,2,True,False,22,27,14,0.9986301369863013,2,0,
astar,bbox,2,20,-1,2,True,False,9,15,8,0.995575221238938,2,0,
ppo,,2,20,0,3,1.0,0.2,24.4,32.6,20.0,0.9545952523675156,9.4,0.0,0.21090886038422707
astar,median,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,
astar,component,2,20,-1,3,True,False,31,36,19,0.9969230769230769,6,0,
astar,bbox,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,
ppo,,2,20,0,4,1.0,0.2,15.0,20.2,10.8,0.9893183502975852,2.8,0.0,0.25428134637574357
astar,median,2,20,-1,4,True,True,6,12,6,1.0,0,0,
astar,component,2,20,-1,4,True,True,22,29,19,0.9121475054229935,0,0,
astar,bbox,2,20,-1,4,True,True,6,12,6,1.0,0,0,
ppo,,2,20,0,5,1.0,0.0,37.4,41.0,23.0,0.9839055961235772,13.0,1.4,0.19886850828882605
astar,median,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,
astar,component,2,20,-1,5,True,False,21,24,13,0.993103448275862,3,0,
astar,bbox,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,
ppo,,2,20,0,6,1.0,1.0,5.6,10.0,5.6,0.9719501158812494,0.0,0.0,0.451115465174163
