config,method,heuristic,train_seed,n_maps,success_rate,cf_success_rate,obs_collisions_mean,robot_collisions_mean,steps_mean,steps_std,total_dist_mean,total_dist_std,max_dist_mean,max_dist_std,jain_mean,jain_std
N2_M20,ppo,,0,20,1.0,0.48,7.419999999999999,0.12999999999999998,19.829999999999995,17.93591648062624,24.310000000000006,17.38637109922597,13.780000000000001,9.873378347860472,0.9636630560816546,0.03228115036389242
N2_M20,ppo,,1,20,1.0,0.44000000000000006,10.81,0.09,23.9,25.912815362287436,26.53,21.625103467960564,15.469999999999999,12.749631367219996,0.9565405320893754,0.03358261757044311
N2_M20,ppo,,2,20,1.0,0.47000000000000003,6.7,0.13999999999999999,18.04,14.285041126997148,23.21,13.87954970451131,13.16,8.022867317860866,0.9628874191449844,0.03200029680190488
N2_M20,ppo,,mean,20,1.0,0.4633333333333334,8.31,0.12,20.59,17.90772986419241,24.68333333333333,16.66898483878234,14.136666666666665,9.621907295333916,0.9610303357720049,0.029130365464922637
N2_M20,astar,median,-1,20,1.0,0.55,1.75,2.0,10.7,9.11098238391448,13.1,7.1965269401288285,7.15,4.150602365922325,0.9876506739386837,0.021992242320331336
N2_M20,astar,component,-1,20,1.0,0.55,1.65,2.0,18.95,11.342288128944706,22.85,15.675697751615395,13.05,8.151533598041537,0.9103160582274954,0.1448769366190562
N2_M20,astar,bbox,-1,20,1.0,0.55,1.55,2.0,10.5,7.940403012442126,12.9,6.847627326307997,7.05,3.9556921012636965,0.9874294350006305,0.021888910557534037
N2_M20,astar,minimax,-1,20,1.0,0.6,2.3,3.7,13.8,11.762652762026091,14.4,7.275987905432499,7.75,4.169832130913665,0.9862540065416144,0.027033966864552117
N3_M20,ppo,,0,20,0.99,0.11000000000000001,29.639999999999997,5.45,57.80999999999999,44.54074426859075,96.0,59.23937879485233,37.96,23.716458420261656,0.9661028746196016,0.015341362277599292
N3_M20,ppo,,1,20,0.9700000000000001,0.13999999999999999,34.19,6.790000000000001,68.2,44.53448102313532,106.94000000000001,59.59262034849617,42.440000000000005,24.636038642606483,0.9675770988149532,0.019011235653143922
N3_M20,ppo,,2,20,0.99,0.16,30.6,5.220000000000001,60.0,40.020694646645005,95.81,53.080786542778355,37.589999999999996,20.91300791373637,0.9715302606620926,0.013538368444590181
N3_M20,ppo,,mean,20,0.9833333333333334,0.13666666666666666,31.476666666666667,5.8199999999999985,62.00333333333333,40.30882712811729,99.58333333333333,52.61643121053853,39.330000000000005,21.234850547573387,0.9684034113655489,0.013844591913853817
N3_M20,astar,median,-1,20,1.0,0.4,2.7,2.2,16.8,9.468896451012652,19.05,5.962172422867356,12.15,5.1987979379852804,0.6596874015378924,0.16260033266675977
N3_M20,astar,component,-1,20,1.0,0.35,3.7,6.85,24.3,13.293231360357796,37.45,17.864699829552134,16.3,6.9144775652250114,0.9059738831889204,0.09605512419588849
N3_M20,astar,bbox,-1,20,1.0,0.4,3.2,10.3,19.55,12.399495957497626,26.7,9.492628719169417,10.5,3.653765181289022,0.9503051895406056,0.08102715393005275
N3_M20,astar,minimax,-1,20,1.0,0.35,3.55,7.65,22.55,21.40905182393653,26.0,9.23038460737146,10.35,3.5815499438092444,0.9327946308429,0.07040492069635114
N4_M20,ppo,,0,20,0.9200000000000002,0.13999999999999999,52.75,17.6,83.86999999999998,70.74789820199608,171.02,114.76380788384465,52.769999999999996,38.122973388758645,0.9655602724463856,0.021959898070136482
N4_M20,ppo,,1,20,0.9700000000000001,0.06,42.66,14.680000000000001,78.02000000000001,51.04162614964378,157.58999999999997,91.3417861660259,48.28999999999999,29.485757578871873,0.9648052433551237,0.019787218086461267
N4_M20,ppo,,2,20,1.0,0.1,40.029999999999994,17.680000000000003,79.2,42.81798687467687,161.10999999999999,72.48391476734683,48.31999999999999,22.212284889222904,0.9674351742397791,0.015551932451279697
N4_M20,ppo,,mean,20,0.9633333333333335,0.10000000000000002,45.146666666666675,16.653333333333332,80.36333333333333,52.805216387945784,163.23999999999998,88.40412609777393,49.79333333333334,28.548204068829893,0.9659335633470961,0.016443974955215823
N4_M20,astar,median,-1,20,0.95,0.35,4.45,55.8,45.3,62.802149644737476,37.65,22.057368383377014,16.5,12.882158204276175,0.7673439423526924,0.15888517932710863
N4_M20,astar,component,-1,20,1.0,0.3,5.25,45.7,46.65,45.0269641437217,68.3,53.12918218832283,21.45,14.238943078754124,0.9122008006041534,0.12282800009392401
N4_M20,astar,bbox,-1,20,1.0,0.3,3.4,97.3,53.95,59.16204442038832,47.25,19.120342570152868,15.65,7.932685547782668,0.9296371383245804,0.07351009877231489
N4_M20,astar,minimax,-1,20,0.95,0.25,5.35,88.65,57.9,68.49956204239557,40.85,21.822637329158912,14.1,10.054352291420866,0.90498371399998,0.0940802607732341
N5_M20,ppo,,0,20,0.8800000000000001,0.05,76.0,38.26,117.58,60.496773467681734,310.73,131.5885599130867,74.39,32.73838572684976,0.9705158771080258,0.016476077035703852
N5_M20,ppo,,1,20,0.9099999999999999,0.05,65.22,34.690000000000005,106.19000000000001,65.09210320768565,280.09,140.8295064963305,67.29999999999998,36.156133642855124,0.9741650825971842,0.013954340387442943
N5_M20,ppo,,2,20,0.8600000000000001,0.02,70.96000000000001,39.42,116.40000000000002,60.78657746575308,293.88999999999993,118.77310259482154,70.51,30.137051946067984,0.9695864196501791,0.019786472446936168
N5_M20,ppo,,mean,20,0.8833333333333332,0.04,70.72666666666669,37.45666666666666,113.38999999999999,55.71377756992529,294.90333333333336,117.6240233871371,70.73333333333332,29.755806156110104,0.9714224597851295,0.013072023335737776
N5_M20,astar,median,-1,20,1.0,0.15,4.6,52.95,36.05,26.140916204295518,43.4,11.573245007343447,14.75,3.462296925452813,0.7887627207775971,0.12778154477709328
N5_M20,astar,component,-1,20,0.9,0.1,4.95,170.15,77.7,85.87846062896098,97.4,76.42407997483517,27.35,22.07323039339734,0.9003484235526926,0.10250392906337119
N5_M20,astar,bbox,-1,20,0.95,0.1,5.25,145.3,57.6,68.6457573343029,58.05,25.40565881846011,15.0,6.557438524302,0.9395680572538442,0.05267326518780616
N5_M20,astar,minimax,-1,20,1.0,0.05,5.05,164.45,69.0,53.95646393158099,52.8,15.888989898668825,13.6,3.4263683398023628,0.9322863175007049,0.07302775272631137
N5_M25,ppo,,0,20,0.95,0.18000000000000002,56.57000000000001,28.03,93.97,57.19382047039697,263.17999999999995,130.5004658995515,63.45,33.894593964229756,0.9697815062870596,0.022766905464397524
N5_M25,ppo,,1,20,0.9,0.18,70.22999999999999,31.700000000000006,105.83,57.446889384891854,284.78999999999996,127.71235609759927,69.69000000000001,33.995086409656324,0.9661986375841843,0.027038396652676447
N5_M25,ppo,,2,20,0.9400000000000001,0.13,57.750000000000014,29.759999999999998,104.16,50.83158860393801,288.97,125.39534720235835,70.14000000000001,32.670176001974646,0.9659788962405393,0.02766672920672286
N5_M25,ppo,,mean,20,0.93,0.16333333333333336,61.516666666666666,29.830000000000002,101.32000000000002,50.85938611068321,278.97999999999996,119.28037204651717,67.76000000000002,31.23967847323514,0.9673196800372612,0.023860377767624497
N5_M25,astar,median,-1,20,1.0,0.4,3.0,48.35,35.95,44.23287804337403,54.3,23.349732332512936,18.95,4.994747240852133,0.7581927479883567,0.1280175784282651
N5_M25,astar,component,-1,20,1.0,0.35,4.3,92.35,50.85,63.244189456423584,94.15,55.32655329947819,24.65,13.150190112694188,0.9332795445899942,0.08818838137358938
N5_M25,astar,bbox,-1,20,1.0,0.35,4.4,67.25,34.1,35.7783454061252,68.0,20.044949488586894,17.4,4.282522621072771,0.9420865808596798,0.04660642590317629
N5_M25,astar,minimax,-1,20,1.0,0.35,5.7,78.8,47.55,48.03693891163341,59.4,20.504633622671733,16.85,4.75683718451662,0.8773509900657988,0.09492137660296388
