method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,wall_ms_per_step
ppo,,2,20,0,0,1.0,0.2,15.0,21.8,12.6,0.9687667497142186,2.0,0.0,0.37807961331661016
astar,median,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,
astar,component,2,20,-1,0,True,False,23,31,16,0.998960498960499,2,0,
astar,bbox,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,
astar,minimax,2,20,-1,0,True,False,11,17,9,0.996551724137931,5,0,
ppo,,2,20,0,1,1.0,0.6,20.0,29.0,15.8,0.9907181597949055,1.6,0.0,0.20098895000046468
astar,median,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,
astar,component,2,20,-1,1,True,False,42,65,34,0.9978743504959848,1,0,
astar,bbox,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,
astar,minimax,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,
ppo,,2,20,0,2,1.0,0.0,51.4,48.2,27.8,0.9720739268378107,28.6,3.6,0.17778479377739131
astar,median,2,20,-1,2,True,False,35,22,12,0.9918032786885246,6,0,
astar,component,2,20,-1,2,True,False,22,27,14,0.9986301369863013,2,0,
astar,bbox,2,20,-1,2,True,False,9,15,8,0.995575221238938,2,0,
astar,minimax,2,20,-1,2,True,False,22,22,12,0.9918032786885246,2,0,
ppo,,2,20,0,3,1.0,0.6,12.8,21.4,11.6,0.9907176641338683,0.4,0.0,0.22150481248672804
astar,median,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,
astar,component,2,20,-1,3,True,False,31,36,19,0.9969230769230769,6,0,
astar,bbox,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,
astar,minimax,2,20,-1,3,True,False,18,26,14,0.9941176470588236,10,0,
ppo,,2,20,0,4,1.0,0.2,10.6,15.2,8.8,0.9467589608867806,2.2,0.0,0.2662320943581674
astar,median,2,20,-1,4,True,True,6,12,6,1.0,0,0,
astar,component,2,20,-1,4,True,True,22,29,19,0.9121475054229935,0,0,
astar,bbox,2,20,-1,4,True,True,6,12,6,1.0,0,0,
astar,minimax,2,20,-1,4,True,True,7,14,7,1.0,0,0,
ppo,,2,20,0,5,1.0,0.0,52.6,50.0,27.6,0.9710844364016211,25.4,1.8,0.17851144486775766
astar,median,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,
astar,component,2,20,-1,5,True,False,21,24,13,0.993103448275862,3,0,
astar,bbox,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,
astar,minimax,2,20,-1,5,True,False,18,14,7,1.0,7,14,
ppo,,2,20,0,6,1.0,1.0,4.6,8.4,4.6,0.984156925465108,0.0,0.0,0.4784647391478875
astar,median,2,20,-1,6,True,True,3,6,3,1.0,0,0,
astar,component,2,20,-1,6,True,True,8,10,7,0.8620689655172413,0,0,
astar,bbox,2,20,-1,6,True,True,3,6,3,1.0,0,0,
astar,minimax,2,20,-1,6,True,True,3,6,3,1.0,0,0,
ppo,,2,20,0,7,1.0,0.2,10.4,14.8,9.0,0.9339366515837104,2.2,0.0,0.23626755766879518
astar,median,2,20,-1,7,True,True,3,6,3,1.0,0,0,
astar,component,2,20,-1,7,True,True,9,12,8,0.9,0,0,
astar,bbox,2,20,-1,7,True,True,3,6,3,1.0,0,0,
astar,minimax,2,20,-1,7,True,True,37,13,7,0.9941176470588236,0,20,
ppo,,2,20,0,8,1.0,0.0,24.8,29.2,16.0,0.9901962000146665,4.2,0.0,0.1940353387116404
astar,median,2,20,-1,8,True,False,29,13,8,0.949438202247191,4,20,
astar,component,2,20,-1,8,True,False,15,15,9,0.9615384615384616,4,0,
astar,bbox,2,20,-1,8,True,False,29,13,8,0.949438202247191,4,20,
astar,minimax,2,20,-1,8,True,False,40,15,9,0.9615384615384616,4,20,
ppo,,2,20,0,9,1.0,0.2,19.8,22.2,12.6,0.9323945701357467,9.4,0.4,0.20121698989988554
astar,median,2,20,-1,9,True,True,4,8,4,1.0,0,0,
astar,component,2,20,-1,9,True,True,31,14,8,0.98,0,40,
astar,bbox,2,20,-1,9,True,True,26,11,6,0.9918032786885246,0,0,
astar,minimax,2,20,-1,9,True,True,4,8,4,1.0,0,0,
ppo,,2,20,0,10,1.0,1.0,5.2,4.8,3.0,0.9089655172413794,0.0,0.0,0.2998978076832897
astar,median,2,20,-1,10,True,True,12,4,2,1.0,0,20,
astar,component,2,20,-1,10,True,True,3,3,3,0.5,0,0,
