config,vs,metric,n_pairs,ppo_mean,astar_mean,wilcoxon_stat,p_value
N2_M20,astar_bbox,steps,20,21.223333333333336,10.5,52.0,0.04844093322753906
N2_M20,astar_bbox,total_distance,20,23.993333333333332,12.9,0.0,1.9073486328125e-06
N3_M20,astar_median,steps,20,64.47,16.8,1.0,3.814697265625e-06
N3_M20,astar_median,total_distance,20,89.14333333333335,19.05,0.0,1.9073486328125e-06
N4_M20,astar_bbox,steps,20,79.68333333333332,53.95,67.0,0.16495704650878906
N4_M20,astar_bbox,total_distance,20,156.69666666666666,47.25,1.0,3.814697265625e-06
N5_M20,astar_median,steps,20,99.97999999999999,36.05,1.0,3.814697265625e-06
N5_M20,astar_median,total_distance,20,255.47666666666663,43.4,0.0,1.9073486328125e-06
N5_M25,astar_median,steps,20,101.32000000000002,35.95,18.0,0.0004825592041015625
N5_M25,astar_median,total_distance,20,278.97999999999996,54.3,0.0,1.9073486328125e-06
