config,vs,metric,n_pairs,ppo_mean,astar_mean,wilcoxon_stat,p_value
N2_M20,astar_bbox,steps,20,20.59,10.5,51.0,0.04405403137207031
N2_M20,astar_bbox,total_distance,20,24.68333333333333,12.9,0.0,1.9073486328125e-06
N3_M20,astar_median,steps,20,62.00333333333333,16.8,5.0,1.9073486328125e-05
N3_M20,astar_median,total_distance,20,99.58333333333333,19.05,0.0,1.9073486328125e-06
N4_M20,astar_bbox,steps,20,80.36333333333333,53.95,62.0,0.11398696899414062
N4_M20,astar_bbox,total_distance,20,163.23999999999998,47.25,3.0,9.5367431640625e-06
N5_M20,astar_median,steps,20,113.38999999999999,36.05,0.0,1.9073486328125e-06
N5_M20,astar_median,total_distance,20,294.90333333333336,43.4,0.0,1.9073486328125e-06
N5_M25,astar_median,steps,20,101.32000000000002,35.95,18.0,0.0004825592041015625
N5_M25,astar_median,total_distance,20,278.97999999999996,54.3,0.0,1.9073486328125e-06
