method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,2,20,0,0,0.0,300.0,14.0,7.0,0.3843266666666656
astar,median,2,20,-1,0,True,25,23,12,
astar,component,2,20,-1,0,True,23,31,16,
astar,bbox,2,20,-1,0,True,25,23,12,
ppo,,2,20,0,1,1.0,19.0,23.0,19.0,0.44730000000000425
astar,median,2,20,-1,1,True,12,23,12,
astar,component,2,20,-1,1,True,42,65,34,
astar,bbox,2,20,-1,1,True,12,23,12,
ppo,,2,20,0,2,0.0,300.0,13.0,8.0,0.3560193333333335
astar,median,2,20,-1,2,True,35,22,12,
astar,component,2,20,-1,2,True,22,27,14,
astar,bbox,2,20,-1,2,True,9,15,8,
ppo,,2,20,0,3,0.0,300.0,16.0,14.0,0.3671890000000004
astar,median,2,20,-1,3,True,15,23,14,
astar,component,2,20,-1,3,True,31,36,19,
astar,bbox,2,20,-1,3,True,15,23,14,
ppo,,2,20,0,4,1.0,7.0,14.0,7.0,0.5503999999999668
astar,median,2,20,-1,4,True,6,12,6,
astar,component,2,20,-1,4,True,22,29,19,
astar,bbox,2,20,-1,4,True,6,12,6,
ppo,,2,20,0,5,0.0,300.0,13.0,7.0,0.3689943333333323
astar,median,2,20,-1,5,True,14,20,11,
astar,component,2,20,-1,5,True,21,24,13,
astar,bbox,2,20,-1,5,True,14,20,11,
ppo,,2,20,0,6,1.0,3.0,6.0,3.0,0.8424666666666525
astar,median,2,20,-1,6,True,3,6,3,
astar,component,2,20,-1,6,True,8,10,7,
astar,bbox,2,20,-1,6,True,3,6,3,
ppo,,2,20,0,7,1.0,7.0,9.0,7.0,0.49802857142853896
astar,median,2,20,-1,7,True,3,6,3,
astar,component,2,20,-1,7,True,9,12,8,
astar,bbox,2,20,-1,7,True,3,6,3,
ppo,,2,20,0,8,0.0,300.0,11.0,7.0,0.36510033333333397
astar,median,2,20,-1,8,True,29,13,8,
astar,component,2,20,-1,8,True,15,15,9,
astar,bbox,2,20,-1,8,True,29,13,8,
ppo,,2,20,0,9,0.0,300.0,8.0,8.0,0.3596300000000004
astar,median,2,20,-1,9,True,4,8,4,
astar,component,2,20,-1,9,True,31,14,8,
astar,bbox,2,20,-1,9,True,26,11,6,
ppo,,2,20,0,10,0.0,300.0,1.0,1.0,0.3765353333333336
astar,median,2,20,-1,10,True,12,4,2,
astar,component,2,20,-1,10,True,3,3,3,
astar,bbox,2,20,-1,10,True,12,4,2,
ppo,,2,20,0,11,1.0,4.0,4.0,4.0,0.5030249999999903
astar,median,2,20,-1,11,True,3,6,3,
astar,component,2,20,-1,11,True,8,10,7,
astar,bbox,2,20,-1,11,True,3,6,3,
ppo,,2,20,0,12,0.0,300.0,16.0,14.0,0.3715100000000001
astar,median,2,20,-1,12,True,9,14,9,
astar,component,2,20,-1,12,True,21,21,13,
astar,bbox,2,20,-1,12,True,9,14,9,
ppo,,2,20,0,13,1.0,11.0,22.0,11.0,0.43420000000002096
astar,median,2,20,-1,13,True,13,24,13,
astar,component,2,20,-1,13,True,41,54,31,
astar,bbox,2,20,-1,13,True,13,24,13,
ppo,,2,20,0,14,1.0,11.0,13.0,10.0,0.4196272727272834
astar,median,2,20,-1,14,True,7,14,7,
astar,component,2,20,-1,14,True,22,32,17,
astar,bbox,2,20,-1,14,True,7,14,7,
ppo,,2,20,0,15,0.0,300.0,1.0,1.0,0.3631480000000013
astar,median,2,20,-1,15,True,11,18,11,
astar,component,2,20,-1,15,True,27,31,17,
astar,bbox,2,20,-1,15,True,11,18,11,
ppo,,2,20,0,16,1.0,5.0,5.0,5.0,0.48517999999999617
astar,median,2,20,-1,16,True,3,6,3,
astar,component,2,20,-1,16,True,8,10,7,
astar,bbox,2,20,-1,16,True,3,6,3,
ppo,,2,20,0,17,1.0,5.0,8.0,5.0,0.5668000000000006
astar,median,2,20,-1,17,True,5,10,5,
astar,component,2,20,-1,17,True,12,16,9,
astar,bbox,2,20,-1,17,True,5,10,5,
ppo,,2,20,0,18,1.0,4.0,8.0,4.0,0.5385749999999856
astar,median,2,20,-1,18,True,4,8,4,
astar,component,2,20,-1,18,True,12,16,9,
astar,bbox,2,20,-1,18,True,4,8,4,
ppo,,2,20,0,19,1.0,1.0,2.0,1.0,0.8582999999999785
astar,median,2,20,-1,19,True,1,2,1,
astar,component,2,20,-1,19,True,1,1,1,
astar,bbox,2,20,-1,19,True,1,2,1,
ppo,,2,20,1,0,0.0,300.0,13.0,8.0,0.36721366666666666
ppo,,2,20,1,1,0.0,300.0,20.0,10.0,0.36684533333333363
ppo,,2,20,1,2,0.0,300.0,4.0,3.0,0.3507093333333344
ppo,,2,20,1,3,1.0,11.0,18.0,10.0,0.4024363636363695
ppo,,2,20,1,4,1.0,7.0,12.0,7.0,0.527842857142881
ppo,,2,20,1,5,0.0,300.0,14.0,8.0,0.3736876666666659
ppo,,2,20,1,6,1.0,3.0,6.0,3.0,0.8003999999998493
ppo,,2,20,1,7,0.0,300.0,7.0,4.0,0.3676210000000009
ppo,,2,20,1,8,0.0,300.0,6.0,4.0,0.35839966666666595
ppo,,2,20,1,9,0.0,300.0,7.0,7.0,0.3716010000000007
