config,method,heuristic,train_seed,n_maps,success_rate,steps_mean,steps_std,total_dist_mean,total_dist_std,max_dist_mean,max_dist_std
N2_M20,ppo,,0,20,0.55,138.85,145.80921610104076,10.35,6.158530668917709,7.15,4.574658457196559
N2_M20,ppo,,1,20,0.45,167.45,146.55936510506587,9.4,5.919459434779497,5.9,3.645545226711637
N2_M20,ppo,,2,20,0.65,108.85,140.28944186930107,9.7,5.514526271584895,5.55,3.2630507198019463
N2_M20,ppo,,mean,20,0.55,138.38333333333333,117.79838119053721,9.816666666666666,5.503004230014326,6.200000000000001,3.612324582438418
N2_M20,astar,median,-1,20,1.0,10.7,9.11098238391448,13.1,7.1965269401288285,7.15,4.150602365922325
N2_M20,astar,component,-1,20,1.0,18.95,11.342288128944706,22.85,15.675697751615395,13.05,8.151533598041537
N2_M20,astar,bbox,-1,20,1.0,10.5,7.940403012442126,12.9,6.847627326307997,7.05,3.9556921012636965
N3_M20,ppo,,0,20,0.2,241.35,117.30271735982932,57.45,105.02926972991864,51.15,104.03233872214928
N3_M20,ppo,,1,20,0.1,270.6,88.20056689160222,29.7,64.46945012949932,22.5,61.99314478230637
N3_M20,ppo,,2,20,0.2,241.35,117.30186486156134,44.5,87.44283847176966,37.5,87.6233416390861
N3_M20,ppo,,mean,20,0.16666666666666666,251.1,84.77500286706636,43.88333333333334,54.210523271163254,37.05,53.78044615739896
N3_M20,astar,median,-1,20,1.0,16.8,9.468896451012652,19.05,5.962172422867356,12.15,5.1987979379852804
N3_M20,astar,component,-1,20,1.0,24.3,13.293231360357796,37.45,17.864699829552134,16.3,6.9144775652250114
N3_M20,astar,bbox,-1,20,1.0,19.55,12.399495957497626,26.7,9.492628719169417,10.5,3.653765181289022
N4_M20,ppo,,0,20,0.05,285.65,62.55019983980867,141.1,195.8443004021307,96.6,132.54825536384854
N4_M20,ppo,,1,20,0.2,241.95,116.10575997770307,49.9,89.00162919857141,37.8,86.50005780344888
N4_M20,ppo,,2,20,0.05,285.35,63.857869522870864,96.0,128.23260115898765,81.45,124.2430983998709
N4_M20,ppo,,mean,20,0.09999999999999999,270.9833333333333,62.04626186250958,95.66666666666667,88.29955328941993,71.95,62.76926663052018
N4_M20,astar,median,-1,20,0.95,45.3,62.802149644737476,37.65,22.057368383377014,16.5,12.882158204276175
N4_M20,astar,component,-1,20,1.0,46.65,45.0269641437217,68.3,53.12918218832283,21.45,14.238943078754124
N4_M20,astar,bbox,-1,20,1.0,53.95,59.16204442038832,47.25,19.120342570152868,15.65,7.932685547782668
N5_M20,ppo,,0,20,0.0,300.0,0.0,79.7,101.90637860310807,56.05,101.82557389968396
N5_M20,ppo,,1,20,0.0,300.0,0.0,182.25,200.76525471306036,126.3,140.33606093944636
N5_M20,ppo,,2,20,0.05,285.6,62.7681447869857,137.9,162.10456501900245,99.95,129.4339503376143
N5_M20,ppo,,mean,20,0.016666666666666666,295.2,20.922714928995237,133.28333333333336,88.53067735724908,94.1,69.22074993975593
N5_M20,astar,median,-1,20,1.0,36.05,26.140916204295518,43.4,11.573245007343447,14.75,3.462296925452813
N5_M20,astar,component,-1,20,0.9,77.7,85.87846062896098,97.4,76.42407997483517,27.35,22.07323039339734
N5_M20,astar,bbox,-1,20,0.95,57.6,68.6457573343029,58.05,25.40565881846011,15.0,6.557438524302
N5_M25,ppo,,0,20,0.1,272.85,81.49434029428056,185.7,167.62073260787284,143.9,141.0896523491358
N5_M25,ppo,,1,20,0.15,258.25,99.39611410915418,156.35,165.73028540372457,113.9,134.23967371831623
N5_M25,ppo,,2,20,0.1,272.55,82.3537946909552,96.2,114.78005053144035,70.45,113.39288998874666
N5_M25,ppo,,mean,20,0.11666666666666667,267.8833333333333,52.35565076156219,146.08333333333334,84.52204676230274,109.41666666666667,72.17870376903272
N5_M25,astar,median,-1,20,1.0,35.95,44.23287804337403,54.3,23.349732332512936,18.95,4.994747240852133
N5_M25,astar,component,-1,20,1.0,50.85,63.244189456423584,94.15,55.32655329947819,24.65,13.150190112694188
N5_M25,astar,bbox,-1,20,1.0,34.1,35.7783454061252,68.0,20.044949488586894,17.4,4.282522621072771
