config,vs,metric,n_pairs,ppo_mean,astar_mean,wilcoxon_stat,p_value
N2_M20,astar_bbox,steps,20,138.38333333333333,10.5,1.0,0.00023283060521051094
N2_M20,astar_bbox,total_distance,20,9.816666666666666,12.9,29.5,0.00837917214191058
N3_M20,astar_median,steps,20,251.1,16.8,0.0,1.9073486328125e-06
N3_M20,astar_median,total_distance,20,43.88333333333334,19.05,91.5,0.6476554870605469
N4_M20,astar_bbox,steps,20,270.9833333333333,53.95,1.0,3.814697265625e-06
N4_M20,astar_bbox,total_distance,20,95.66666666666667,47.25,48.5,0.03623390197753906
N5_M20,astar_median,steps,20,295.2,36.05,0.0,1.9073486328125e-06
N5_M20,astar_median,total_distance,20,133.28333333333336,43.4,20.0,0.0007076263427734375
N5_M25,astar_median,steps,20,267.8833333333333,35.95,0.0,1.9073486328125e-06
N5_M25,astar_median,total_distance,20,146.08333333333334,54.3,14.0,0.000209808349609375
