method,heuristic,n,m,train_seed,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances,wall_ms_per_step
ppo,,2,20,0,0,0.0,0.0,300.0,15.0,8.0,0.995575221238938,0.0,0.0,"[7.0, 8.0]",0.38106333333333353
astar,median,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,"[11, 12]",
astar,component,2,20,-1,0,True,False,23,31,16,0.998960498960499,2,0,"[15, 16]",
astar,bbox,2,20,-1,0,True,False,25,23,12,0.9981132075471698,5,0,"[11, 12]",
astar,minimax,2,20,-1,0,True,False,11,17,9,0.996551724137931,5,0,"[9, 8]",
ppo,,2,20,0,1,0.0,0.0,300.0,9.0,5.0,0.9878048780487805,591.0,0.0,"[4.0, 5.0]",0.36256466666666637
astar,median,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,"[11, 12]",
astar,component,2,20,-1,1,True,False,42,65,34,0.9978743504959848,1,0,"[31, 34]",
astar,bbox,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,"[11, 12]",
astar,minimax,2,20,-1,1,True,False,12,23,12,0.9981132075471698,1,0,"[11, 12]",
ppo,,2,20,0,2,0.0,0.0,300.0,10.0,7.0,0.8620689655172413,590.0,0.0,"[7.0, 3.0]",0.36202666666666605
astar,median,2,20,-1,2,True,False,35,22,12,0.9918032786885246,6,0,"[10, 12]",
astar,component,2,20,-1,2,True,False,22,27,14,0.9986301369863013,2,0,"[14, 13]",
astar,bbox,2,20,-1,2,True,False,9,15,8,0.995575221238938,2,0,"[8, 7]",
astar,minimax,2,20,-1,2,True,False,22,22,12,0.9918032786885246,2,0,"[12, 10]",
ppo,,2,20,0,3,1.0,1.0,8.0,16.0,8.0,1.0,0.0,0.0,"[8.0, 8.0]",0.4416624999999952
astar,median,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,"[9, 14]",
astar,component,2,20,-1,3,True,False,31,36,19,0.9969230769230769,6,0,"[19, 17]",
astar,bbox,2,20,-1,3,True,False,15,23,14,0.9548736462093863,6,0,"[9, 14]",
astar,minimax,2,20,-1,3,True,False,18,26,14,0.9941176470588236,10,0,"[12, 14]",
ppo,,2,20,0,4,1.0,1.0,7.0,14.0,7.0,1.0,0.0,0.0,"[7.0, 7.0]",0.531514285714328
astar,median,2,20,-1,4,True,True,6,12,6,1.0,0,0,"[6, 6]",
astar,component,2,20,-1,4,True,True,22,29,19,0.9121475054229935,0,0,"[19, 10]",
astar,bbox,2,20,-1,4,True,True,6,12,6,1.0,0,0,"[6, 6]",
astar,minimax,2,20,-1,4,True,True,7,14,7,1.0,0,0,"[7, 7]",
ppo,,2,20,0,5,0.0,0.0,300.0,13.0,7.0,0.9941176470588236,587.0,0.0,"[6.0, 7.0]",0.37184333333333264
astar,median,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,"[11, 9]",
astar,component,2,20,-1,5,True,False,21,24,13,0.993103448275862,3,0,"[13, 11]",
astar,bbox,2,20,-1,5,True,False,14,20,11,0.9900990099009901,3,0,"[11, 9]",
astar,minimax,2,20,-1,5,True,False,18,14,7,1.0,7,14,"[7, 7]",
ppo,,2,20,0,6,1.0,1.0,3.0,6.0,3.0,1.0,0.0,0.0,"[3.0, 3.0]",0.9035333333332988
astar,median,2,20,-1,6,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,component,2,20,-1,6,True,True,8,10,7,0.8620689655172413,0,0,"[7, 3]",
astar,bbox,2,20,-1,6,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,minimax,2,20,-1,6,True,True,3,6,3,1.0,0,0,"[3, 3]",
ppo,,2,20,0,7,0.0,0.0,300.0,9.0,5.0,0.9878048780487805,0.0,295.0,"[5.0, 4.0]",0.3701550000000002
astar,median,2,20,-1,7,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,component,2,20,-1,7,True,True,9,12,8,0.9,0,0,"[4, 8]",
astar,bbox,2,20,-1,7,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,minimax,2,20,-1,7,True,True,37,13,7,0.9941176470588236,0,20,"[7, 6]",
ppo,,2,20,0,8,0.0,0.0,300.0,6.0,4.0,0.9,298.0,0.0,"[4.0, 2.0]",0.35681733333333315
astar,median,2,20,-1,8,True,False,29,13,8,0.949438202247191,4,20,"[8, 5]",
astar,component,2,20,-1,8,True,False,15,15,9,0.9615384615384616,4,0,"[6, 9]",
astar,bbox,2,20,-1,8,True,False,29,13,8,0.949438202247191,4,20,"[8, 5]",
astar,minimax,2,20,-1,8,True,False,40,15,9,0.9615384615384616,4,20,"[9, 6]",
ppo,,2,20,0,9,0.0,0.0,300.0,9.0,9.0,0.5,300.0,0.0,"[9.0, 0.0]",0.3582190000000004
astar,median,2,20,-1,9,True,True,4,8,4,1.0,0,0,"[4, 4]",
astar,component,2,20,-1,9,True,True,31,14,8,0.98,0,40,"[6, 8]",
astar,bbox,2,20,-1,9,True,True,26,11,6,0.9918032786885246,0,0,"[5, 6]",
astar,minimax,2,20,-1,9,True,True,4,8,4,1.0,0,0,"[4, 4]",
ppo,,2,20,0,10,1.0,1.0,3.0,4.0,3.0,0.8,0.0,0.0,"[3.0, 1.0]",0.5245000000000388
astar,median,2,20,-1,10,True,True,12,4,2,1.0,0,20,"[2, 2]",
astar,component,2,20,-1,10,True,True,3,3,3,0.5,0,0,"[0, 3]",
astar,bbox,2,20,-1,10,True,True,12,4,2,1.0,0,20,"[2, 2]",
astar,minimax,2,20,-1,10,True,True,12,3,2,0.9,0,20,"[2, 1]",
ppo,,2,20,0,11,1.0,1.0,3.0,4.0,3.0,0.8,0.0,0.0,"[1.0, 3.0]",0.680633333333347
astar,median,2,20,-1,11,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,component,2,20,-1,11,True,True,8,10,7,0.8620689655172413,0,0,"[7, 3]",
astar,bbox,2,20,-1,11,True,True,3,6,3,1.0,0,0,"[3, 3]",
astar,minimax,2,20,-1,11,True,True,4,8,4,1.0,0,0,"[4, 4]",
ppo,,2,20,0,12,1.0,0.0,10.0,13.0,10.0,0.7752293577981652,7.0,0.0,"[10.0, 3.0]",0.448650000000006
astar,median,2,20,-1,12,True,False,9,14,9,0.9245283018867925,4,0,"[9, 5]",
astar,component,2,20,-1,12,True,False,21,21,13,0.9463519313304721,4,0,"[8, 13]",
astar,bbox,2,20,-1,12,True,False,9,14,9,0.9245283018867925,4,0,"[9, 5]",
astar,minimax,2,20,-1,12,True,False,39,25,16,0.9272997032640949,13,0,"[16, 9]",
ppo,,2,20,0,13,0.0,0.0,300.0,14.0,7.0,1.0,586.0,0.0,"[7.0, 7.0]",0.3682356666666668
