config,method,heuristic,train_seed,n_maps,success_rate,cf_success_rate,obs_collisions_mean,robot_collisions_mean,steps_mean,steps_std,total_dist_mean,total_dist_std,max_dist_mean,max_dist_std,jain_mean,jain_std
N2_M20,ppo,,0,20,0.55,0.45,178.3,14.75,137.9,146.64272910717395,9.15,4.339066719929528,5.55,2.7654113618049663,0.892822355077844,0.1566443741674857
N2_M20,ppo,,1,20,0.55,0.5,163.45,0.0,137.7,146.8206729313008,10.4,5.902541825349482,6.45,3.8402473878644847,0.8732530243075184,0.18584901559828607
N2_M20,ppo,,2,20,0.6,0.5,164.0,0.0,123.6,144.0529069474129,9.15,5.632716928800878,5.5,3.5,0.8821664910520497,0.158539276700138
N2_M20,ppo,,mean,20,0.5666666666666667,0.4833333333333333,168.58333333333331,4.916666666666666,133.06666666666666,121.22662890452557,9.566666666666666,4.990101312710105,5.833333333333334,3.093900810016737,0.8827472901458041,0.1576180871030661
N2_M20,astar,median,-1,20,1.0,0.55,1.75,2.0,10.7,9.11098238391448,13.1,7.1965269401288285,7.15,4.150602365922325,0.9876506739386837,0.021992242320331336
N2_M20,astar,component,-1,20,1.0,0.55,1.65,2.0,18.95,11.342288128944706,22.85,15.675697751615395,13.05,8.151533598041537,0.9103160582274954,0.1448769366190562
N2_M20,astar,bbox,-1,20,1.0,0.55,1.55,2.0,10.5,7.940403012442126,12.9,6.847627326307997,7.05,3.9556921012636965,0.9874294350006305,0.021888910557534037
N2_M20,astar,minimax,-1,20,1.0,0.6,2.3,3.7,13.8,11.762652762026091,14.4,7.275987905432499,7.75,4.169832130913665,0.9862540065416144,0.027033966864552117
N3_M20,ppo,,0,20,0.15,0.15,354.85,0.35,255.75,105.33606932100703,27.25,63.988182502709044,21.75,63.90764821208804,0.6961372089020927,0.2027418268436112
N3_M20,ppo,,1,20,0.15,0.15,369.4,58.6,255.95,104.86251713553322,15.75,6.6473679001541655,8.0,3.478505426185217,0.7748704190096741,0.1807842991088458
N3_M20,ppo,,2,20,0.2,0.2,295.35,28.85,241.35,117.30356985190178,30.1,62.24218826487385,22.4,63.750607840239454,0.771331824231743,0.1973972107217273
N3_M20,ppo,,mean,20,0.16666666666666666,0.16666666666666666,339.8666666666667,29.26666666666667,251.0166666666667,105.08697323857247,24.366666666666667,27.628869764151496,17.383333333333333,28.686867882166723,0.7474464840478365,0.15962514934726987
N3_M20,astar,median,-1,20,1.0,0.4,2.7,2.2,16.8,9.468896451012652,19.05,5.962172422867356,12.15,5.1987979379852804,0.6596874015378924,0.16260033266675977
N3_M20,astar,component,-1,20,1.0,0.35,3.7,6.85,24.3,13.293231360357796,37.45,17.864699829552134,16.3,6.9144775652250114,0.9059738831889204,0.09605512419588849
N3_M20,astar,bbox,-1,20,1.0,0.4,3.2,10.3,19.55,12.399495957497626,26.7,9.492628719169417,10.5,3.653765181289022,0.9503051895406056,0.08102715393005275
N3_M20,astar,minimax,-1,20,1.0,0.35,3.55,7.65,22.55,21.40905182393653,26.0,9.23038460737146,10.35,3.5815499438092444,0.9327946308429,0.07040492069635114
N4_M20,ppo,,0,20,0.15,0.1,370.0,87.8,256.45,103.67423739772578,36.3,65.78077226667378,24.4,63.35329509978152,0.6919239762317674,0.18430680068813926
N4_M20,ppo,,1,20,0.1,0.1,398.6,87.65,271.05,86.85129532712797,34.9,62.69362009008572,23.95,63.40857591840397,0.669705564569569,0.17644862006473785
N4_M20,ppo,,2,20,0.0,0.0,442.65,88.05,300.0,0.0,34.85,63.200692243044294,23.15,63.59738595256884,0.7270779728410923,0.15556756094878527
N4_M20,ppo,,mean,20,0.08333333333333333,0.06666666666666667,403.75000000000006,87.83333333333334,275.8333333333333,60.1480118818015,35.35,45.977588139343624,23.833333333333336,45.7656469903403,0.6962358378808096,0.11292645421417094
N4_M20,astar,median,-1,20,0.95,0.35,4.45,55.8,45.3,62.802149644737476,37.65,22.057368383377014,16.5,12.882158204276175,0.7673439423526924,0.15888517932710863
