config,vs,metric,n_pairs,ppo_mean,astar_mean,wilcoxon_stat,p_value
N2_M20,astar_bbox,steps,20,133.06666666666666,10.5,8.5,0.0012823830794187223
N2_M20,astar_bbox,total_distance,20,9.566666666666666,12.9,22.5,0.010482706359759451
N3_M20,astar_median,steps,20,251.0166666666667,16.8,0.0,0.0001960933545337302
N3_M20,astar_median,total_distance,20,24.366666666666667,19.05,75.5,0.2773551940917969
N4_M20,astar_bbox,steps,20,275.8333333333333,53.95,1.0,3.814697265625e-06
N4_M20,astar_bbox,total_distance,20,35.35,47.25,37.0,0.009435653686523438
N5_M20,astar_median,steps,20,276.33333333333337,36.05,0.0,1.9073486328125e-06
N5_M20,astar_median,total_distance,20,84.33333333333334,43.4,51.0,0.04405403137207031
N5_M25,astar_median,steps,20,242.9333333333333,35.95,0.0,1.9073486328125e-06
N5_M25,astar_median,total_distance,20,69.43333333333332,54.3,99.0,0.8408222198486328
