method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,jain,wall_ms_per_step
ppo,,2,20,0,0,1.0,20.2,25.8,14.2,0.9871525164780991,0.7536801980198005
astar,median,2,20,-1,0,True,25,23,12,0.9981132075471698,
astar,component,2,20,-1,0,True,23,31,16,0.998960498960499,
astar,bbox,2,20,-1,0,True,25,23,12,0.9981132075471698,
ppo,,2,20,0,1,1.0,18.2,24.6,15.2,0.9357827997162709,0.7434373626373659
astar,median,2,20,-1,1,True,12,23,12,0.9981132075471698,
astar,component,2,20,-1,1,True,42,65,34,0.9978743504959848,
astar,bbox,2,20,-1,1,True,12,23,12,0.9981132075471698,
ppo,,2,20,0,2,1.0,87.6,73.4,44.0,0.9627001847428414,0.6622899543378997
astar,median,2,20,-1,2,True,35,22,12,0.9918032786885246,
astar,component,2,20,-1,2,True,22,27,14,0.9986301369863013,
astar,bbox,2,20,-1,2,True,9,15,8,0.995575221238938,
ppo,,2,20,0,3,1.0,36.6,39.6,23.2,0.962992774550855,0.6865311475409839
astar,median,2,20,-1,3,True,15,23,14,0.9548736462093863,
astar,component,2,20,-1,3,True,31,36,19,0.9969230769230769,
astar,bbox,2,20,-1,3,True,15,23,14,0.9548736462093863,
ppo,,2,20,0,4,1.0,14.6,20.0,12.4,0.9118415803559348,0.759416438356167
astar,median,2,20,-1,4,True,6,12,6,1.0,
astar,component,2,20,-1,4,True,22,29,19,0.9121475054229935,
astar,bbox,2,20,-1,4,True,6,12,6,1.0,
ppo,,2,20,0,5,1.0,76.6,72.2,41.6,0.9706073320314561,0.6520394255874673
astar,median,2,20,-1,5,True,14,20,11,0.9900990099009901,
astar,component,2,20,-1,5,True,21,24,13,0.993103448275862,
astar,bbox,2,20,-1,5,True,14,20,11,0.9900990099009901,
ppo,,2,20,0,6,1.0,5.4,9.4,5.4,0.9747515200597027,0.8437962962962936
astar,median,2,20,-1,6,True,3,6,3,1.0,
astar,component,2,20,-1,6,True,8,10,7,0.8620689655172413,
astar,bbox,2,20,-1,6,True,3,6,3,1.0,
ppo,,2,20,0,7,1.0,13.4,16.2,10.4,0.9101572839424069,0.8605611940298471
astar,median,2,20,-1,7,True,3,6,3,1.0,
astar,component,2,20,-1,7,True,9,12,8,0.9,
astar,bbox,2,20,-1,7,True,3,6,3,1.0,
ppo,,2,20,0,8,1.0,15.8,21.8,12.8,0.956591162372276,0.8203481012658189
astar,median,2,20,-1,8,True,29,13,8,0.949438202247191,
astar,component,2,20,-1,8,True,15,15,9,0.9615384615384616,
astar,bbox,2,20,-1,8,True,29,13,8,0.949438202247191,
ppo,,2,20,0,9,1.0,22.8,25.0,15.4,0.8816874742763068,0.6517500000000036
astar,median,2,20,-1,9,True,4,8,4,1.0,
astar,component,2,20,-1,9,True,31,14,8,0.98,
astar,bbox,2,20,-1,9,True,26,11,6,0.9918032786885246,
ppo,,2,20,0,10,1.0,8.0,5.8,4.4,0.7946968325791856,0.7134399999999985
astar,median,2,20,-1,10,True,12,4,2,1.0,
astar,component,2,20,-1,10,True,3,3,3,0.5,
astar,bbox,2,20,-1,10,True,12,4,2,1.0,
ppo,,2,20,0,11,1.0,11.6,13.8,8.0,0.9057534246575342,0.640863793103448
astar,median,2,20,-1,11,True,3,6,3,1.0,
astar,component,2,20,-1,11,True,8,10,7,0.8620689655172413,
astar,bbox,2,20,-1,11,True,3,6,3,1.0,
ppo,,2,20,0,12,1.0,45.4,47.4,28.2,0.9656832527793465,0.5846766519823788
astar,median,2,20,-1,12,True,9,14,9,0.9245283018867925,
astar,component,2,20,-1,12,True,21,21,13,0.9463519313304721,
astar,bbox,2,20,-1,12,True,9,14,9,0.9245283018867925,
ppo,,2,20,0,13,1.0,57.0,49.0,27.4,0.9801423278162925,0.5861561403508767
astar,median,2,20,-1,13,True,13,24,13,0.993103448275862,
astar,component,2,20,-1,13,True,41,54,31,0.978523489932886,
astar,bbox,2,20,-1,13,True,13,24,13,0.993103448275862,
ppo,,2,20,0,14,1.0,17.0,20.0,14.6,0.8242826309671643,0.6507258823529395
astar,median,2,20,-1,14,True,7,14,7,1.0,
astar,component,2,20,-1,14,True,22,32,17,0.9961089494163424,
astar,bbox,2,20,-1,14,True,7,14,7,1.0,
ppo,,2,20,0,15,1.0,112.2,81.6,52.4,0.916060254522135,0.582904991087345
astar,median,2,20,-1,15,True,11,18,11,0.9529411764705882,
astar,component,2,20,-1,15,True,27,31,17,0.9907216494845361,
astar,bbox,2,20,-1,15,True,11,18,11,0.9529411764705882,
ppo,,2,20,0,16,1.0,6.0,9.4,5.8,0.9365429864253393,0.7339200000000249
astar,median,2,20,-1,16,True,3,6,3,1.0,
astar,component,2,20,-1,16,True,8,10,7,0.8620689655172413,
astar,bbox,2,20,-1,16,True,3,6,3,1.0,
ppo,,2,20,0,17,1.0,6.2,10.6,6.0,0.9706683480453971,0.7686935483871166
astar,median,2,20,-1,17,True,5,10,5,1.0,
astar,component,2,20,-1,17,True,12,16,9,0.9846153846153847,
astar,bbox,2,20,-1,17,True,5,10,5,1.0,
ppo,,2,20,0,18,1.0,6.6,11.6,6.2,0.984235294117647,0.7863454545454549
astar,median,2,20,-1,18,True,4,8,4,1.0,
astar,component,2,20,-1,18,True,12,16,9,0.9846153846153847,
astar,bbox,2,20,-1,18,True,4,8,4,1.0,
ppo,,2,20,0,19,1.0,1.2,1.6,1.0,0.8,1.2004833333333724
astar,median,2,20,-1,19,True,1,2,1,1.0,
astar,component,2,20,-1,19,True,1,1,1,0.5,
astar,bbox,2,20,-1,19,True,1,2,1,1.0,
ppo,,2,20,1,0,1.0,19.2,26.8,14.6,0.9789850279368444,0.7856041666666664
ppo,,2,20,1,1,1.0,22.6,30.0,17.2,0.9750788862244771,0.6473389380530962
ppo,,2,20,1,2,1.0,67.8,59.6,37.2,0.918421550917801,0.5776182890855457
ppo,,2,20,1,3,1.0,16.4,27.4,14.6,0.9932270949230564,0.6763329268292668
ppo,,2,20,1,4,1.0,12.4,17.0,10.2,0.9232582710531803,0.6348967741935438
ppo,,2,20,1,5,1.0,72.0,61.6,33.4,0.9891442609425856,0.6133836111111105
ppo,,2,20,1,6,1.0,6.2,10.6,6.0,0.9656013599660008,0.8824645161290162
ppo,,2,20,1,7,1.0,16.0,19.4,10.8,0.9726404916353705,0.6113000000000035
ppo,,2,20,1,8,1.0,30.6,36.4,19.8,0.991724940776846,0.6134660130718969
ppo,,2,20,1,9,1.0,31.6,33.6,19.2,0.9674113965128079,0.5819734177215157
ppo,,2,20,1,10,1.0,8.6,6.6,4.8,0.8187692307692307,0.6765558139534897
ppo,,2,20,1,11,1.0,10.4,13.4,7.4,0.9834876404494383,0.6588211538461469
ppo,,2,20,1,12,1.0,36.6,36.0,21.8,0.9223567259241454,0.6110628415300546
ppo,,2,20,1,13,1.0,73.2,73.8,43.4,0.9784671607267882,0.588558469945355
ppo,,2,20,1,14,1.0,15.0,19.2,13.0,0.8872425760759824,0.6172239999999954
ppo,,2,20,1,15,0.8,90.8,92.2,56.0,0.9643406138433723,0.5907958149779745
ppo,,2,20,1,16,1.0,9.2,14.2,8.0,0.9717229345670851,0.6454108695652178
ppo,,2,20,1,17,1.0,6.8,10.8,6.4,0.96517137311022,0.6323294117647074
ppo,,2,20,1,18,1.0,6.8,11.0,6.2,0.9674486160591943,0.704591176470573
ppo,,2,20,1,19,1.0,2.0,2.4,1.4,0.8923076923076924,0.925309999999957
