config,vs,metric,n_pairs,ppo_mean,astar_mean,wilcoxon_stat,p_value
N2_M20,astar_bbox,steps,20,26.873333333333335,10.5,27.0,0.0023250579833984375
N2_M20,astar_bbox,total_distance,20,28.959999999999997,12.9,0.0,0.00013162704518922692
N3_M20,astar_median,steps,20,55.980000000000004,16.8,4.0,1.33514404296875e-05
N3_M20,astar_median,total_distance,20,93.23666666666666,19.05,0.0,1.9073486328125e-06
N4_M20,astar_bbox,steps,20,88.84666666666666,53.95,61.0,0.10539817810058594
N4_M20,astar_bbox,total_distance,20,184.67,47.25,0.0,1.9073486328125e-06
N5_M20,astar_median,steps,20,130.94333333333333,36.05,0.0,1.9073486328125e-06
N5_M20,astar_median,total_distance,20,320.87666666666667,43.4,0.0,1.9073486328125e-06
N5_M25,astar_median,steps,20,118.47,35.95,10.5,0.0001049041748046875
N5_M25,astar_median,total_distance,20,312.2366666666667,54.3,0.0,1.9073486328125e-06
