config,n,m,variant,episode,success,cf_success,steps,total_distance,max_distance,jain,obs_collisions,robot_collisions,per_robot_distances
N2_M20,2,20,danger,0,True,True,23,46,23,1.0,0,0,"[23, 23]"
N2_M20,2,20,danger,1,True,True,19,38,19,1.0,0,0,"[19, 19]"
N2_M20,2,20,danger,2,True,True,32,39,32,0.7087604846225536,0,0,"[7, 32]"
N2_M20,2,20,danger,3,True,True,21,21,21,0.5,0,0,"[21, 0]"
N2_M20,2,20,danger,4,False,False,300,300,300,0.5,0,0,"[0, 300]"
N2_M20,2,20,danger,5,True,True,17,34,17,1.0,0,0,"[17, 17]"
N2_M20,2,20,danger,6,True,True,3,6,3,1.0,0,0,"[3, 3]"
N2_M20,2,20,danger,7,False,False,300,10,5,1.0,0,590,"[5, 5]"
N2_M20,2,20,danger,8,False,False,300,16,8,1.0,0,584,"[8, 8]"
N2_M20,2,20,danger,9,False,False,300,300,300,0.5,0,0,"[300, 0]"
N2_M20,2,20,danger,10,True,True,5,10,5,1.0,0,0,"[5, 5]"
N2_M20,2,20,danger,11,True,True,6,12,6,1.0,0,0,"[6, 6]"
N2_M20,2,20,danger,12,True,True,15,30,15,1.0,0,0,"[15, 15]"
N2_M20,2,20,danger,13,True,True,49,98,49,1.0,0,0,"[49, 49]"
N2_M20,2,20,danger,14,True,True,19,19,19,0.5,0,0,"[0, 19]"
N2_M20,2,20,danger,15,True,True,32,32,32,0.5,0,0,"[32, 0]"
N2_M20,2,20,danger,16,True,True,4,8,4,1.0,0,0,"[4, 4]"
N2_M20,2,20,danger,17,True,True,6,12,6,1.0,0,0,"[6, 6]"
N2_M20,2,20,danger,18,True,True,5,10,5,1.0,0,0,"[5, 5]"
N2_M20,2,20,danger,19,True,True,1,2,1,1.0,0,0,"[1, 1]"
N2_M20,2,20,no_danger,0,True,True,16,32,16,1.0,0,0,"[16, 16]"
N2_M20,2,20,no_danger,1,True,True,11,22,11,1.0,0,0,"[11, 11]"
N2_M20,2,20,no_danger,2,True,True,8,16,8,1.0,0,0,"[8, 8]"
N2_M20,2,20,no_danger,3,True,True,10,20,10,1.0,0,0,"[10, 10]"
N2_M20,2,20,no_danger,4,True,True,7,14,7,1.0,0,0,"[7, 7]"
N2_M20,2,20,no_danger,5,True,True,7,14,7,1.0,0,0,"[7, 7]"
N2_M20,2,20,no_danger,6,True,True,3,6,3,1.0,0,0,"[3, 3]"
N2_M20,2,20,no_danger,7,False,False,300,8,4,1.0,0,592,"[4, 4]"
N2_M20,2,20,no_danger,8,False,False,300,10,5,1.0,0,590,"[5, 5]"
N2_M20,2,20,no_danger,9,True,True,4,8,4,1.0,0,0,"[4, 4]"
N2_M20,2,20,no_danger,10,True,True,5,10,5,1.0,0,0,"[5, 5]"
N2_M20,2,20,no_danger,11,True,True,6,12,6,1.0,0,0,"[6, 6]"
N2_M20,2,20,no_danger,12,True,True,8,16,8,1.0,0,0,"[8, 8]"
N2_M20,2,20,no_danger,13,True,True,13,26,13,1.0,0,0,"[13, 13]"
N2_M20,2,20,no_danger,14,True,True,8,16,8,1.0,0,0,"[8, 8]"
N2_M20,2,20,no_danger,15,True,True,9,18,9,1.0,0,0,"[9, 9]"
N2_M20,2,20,no_danger,16,True,True,4,8,4,1.0,0,0,"[4, 4]"
N2_M20,2,20,no_danger,17,True,True,6,12,6,1.0,0,0,"[6, 6]"
N2_M20,2,20,no_danger,18,True,True,5,10,5,1.0,0,0,"[5, 5]"
N2_M20,2,20,no_danger,19,True,True,1,2,1,1.0,0,0,"[1, 1]"
N3_M20,3,20,danger,0,False,False,300,119,53,0.8156788203444502,0,494,"[13, 53, 53]"
N3_M20,3,20,danger,1,True,True,21,62,21,0.999479979199168,0,0,"[20, 21, 21]"
N3_M20,3,20,danger,2,False,False,300,23,15,0.6861219195849546,0,592,"[4, 4, 15]"
N3_M20,3,20,danger,3,True,True,11,31,11,0.9979231568016614,0,2,"[10, 10, 11]"
N3_M20,3,20,danger,4,True,True,11,33,11,1.0,0,0,"[11, 11, 11]"
N3_M20,3,20,danger,5,True,True,20,58,20,0.9976275207591934,0,0,"[20, 18, 20]"
N3_M20,3,20,danger,6,True,True,18,38,18,0.9185750636132316,0,16,"[10, 10, 18]"
N3_M20,3,20,danger,7,True,True,20,40,20,0.6666666666666666,0,0,"[20, 0, 20]"
N3_M20,3,20,danger,8,True,True,9,27,9,1.0,0,0,"[9, 9, 9]"
N3_M20,3,20,danger,9,False,False,300,16,7,0.9078014184397163,0,0,"[6, 7, 3]"
N3_M20,3,20,danger,10,True,True,23,68,23,0.9995676610462603,0,0,"[22, 23, 23]"
N3_M20,3,20,danger,11,True,True,21,62,21,0.999479979199168,0,0,"[20, 21, 21]"
N3_M20,3,20,danger,12,True,True,16,34,16,0.9218500797448166,0,14,"[9, 9, 16]"
N3_M20,3,20,danger,13,False,False,300,84,42,0.6666666666666666,0,516,"[42, 42, 0]"
N3_M20,3,20,danger,14,True,True,10,30,10,1.0,0,0,"[10, 10, 10]"
N3_M20,3,20,danger,15,False,False,300,300,300,0.3333333333333333,0,0,"[0, 0, 300]"
N3_M20,3,20,danger,16,True,True,5,15,5,1.0,0,0,"[5, 5, 5]"
N3_M20,3,20,danger,17,True,True,5,14,5,0.98989898989899,0,0,"[5, 5, 4]"
N3_M20,3,20,danger,18,False,False,300,24,8,1.0,0,0,"[8, 8, 8]"
N3_M20,3,20,danger,19,True,True,60,168,60,0.9974554707379135,0,12,"[60, 54, 54]"
N3_M20,3,20,no_danger,0,False,False,300,66,23,0.9986244841815681,0,0,"[21, 22, 23]"
N3_M20,3,20,no_danger,1,False,False,300,39,13,1.0,0,0,"[13, 13, 13]"
N3_M20,3,20,no_danger,2,True,True,10,24,10,0.9696969696969697,0,6,"[7, 7, 10]"
N3_M20,3,20,no_danger,3,True,True,11,33,11,1.0,0,0,"[11, 11, 11]"
N3_M20,3,20,no_danger,4,True,True,10,28,10,0.9974554707379135,0,0,"[9, 9, 10]"
N3_M20,3,20,no_danger,5,False,False,300,28,10,0.9974554707379135,0,0,"[9, 9, 10]"
N3_M20,3,20,no_danger,6,True,True,17,35,17,0.9053954175905395,0,16,"[9, 9, 17]"
N3_M20,3,20,no_danger,7,False,False,300,22,8,0.983739837398374,0,0,"[8, 8, 6]"
N3_M20,3,20,no_danger,8,False,False,300,35,12,0.9983700081499592,0,0,"[11, 12, 12]"
N3_M20,3,20,no_danger,9,False,False,300,13,6,0.8666666666666667,0,0,"[5, 6, 2]"
N3_M20,3,20,no_danger,10,True,True,11,32,11,0.9980506822612085,0,0,"[10, 11, 11]"
N3_M20,3,20,no_danger,11,True,True,7,20,7,0.9950248756218906,0,0,"[7, 7, 6]"
N3_M20,3,20,no_danger,12,True,True,12,34,12,0.998272884283247,0,0,"[11, 12, 11]"
N3_M20,3,20,no_danger,13,True,True,13,39,13,1.0,0,0,"[13, 13, 13]"
N3_M20,3,20,no_danger,14,True,True,10,27,10,0.9759036144578314,0,0,"[10, 7, 10]"
N3_M20,3,20,no_danger,15,True,True,9,27,9,1.0,0,0,"[9, 9, 9]"
N3_M20,3,20,no_danger,16,True,True,5,15,5,1.0,0,0,"[5, 5, 5]"
N3_M20,3,20,no_danger,17,True,True,5,14,5,0.98989898989899,0,0,"[5, 5, 4]"
N3_M20,3,20,no_danger,18,True,True,12,33,12,0.983739837398374,0,0,"[9, 12, 12]"
N3_M20,3,20,no_danger,19,False,False,300,37,14,0.9898770788141721,0,4,"[14, 12, 11]"
N4_M20,4,20,danger,0,True,True,80,114,80,0.47807533843437316,0,206,"[10, 14, 80, 10]"
N4_M20,4,20,danger,1,True,True,20,77,20,0.9994942683749157,0,3,"[19, 19, 20, 19]"
N4_M20,4,20,danger,2,False,False,300,98,32,0.9400939702427564,0,817,"[24, 32, 27, 15]"
N4_M20,4,20,danger,3,True,True,17,48,17,0.9442622950819672,0,20,"[10, 11, 17, 10]"
N4_M20,4,20,danger,4,True,True,14,48,14,0.9829351535836177,0,8,"[13, 11, 10, 14]"
N4_M20,4,20,danger,5,True,True,20,65,20,0.9490116801437556,0,14,"[12, 13, 20, 20]"
N4_M20,4,20,danger,6,True,True,14,52,14,0.9970501474926253,0,1,"[12, 13, 14, 13]"
N4_M20,4,20,danger,7,False,False,300,16,8,0.5,0,584,"[8, 8, 0, 0]"
N4_M20,4,20,danger,8,True,True,14,50,14,0.9920634920634921,0,4,"[12, 13, 14, 11]"
N4_M20,4,20,danger,9,True,True,9,26,9,0.9388888888888889,0,2,"[5, 7, 9, 5]"
N4_M20,4,20,danger,10,True,True,20,65,20,0.9825581395348837,0,13,"[15, 15, 20, 15]"
N4_M20,4,20,danger,11,False,False,300,40,12,0.9478672985781991,0,289,"[11, 12, 11, 6]"
N4_M20,4,20,danger,12,True,True,15,56,15,0.9949238578680203,0,0,"[15, 13, 15, 13]"
N4_M20,4,20,danger,13,False,False,300,85,34,0.8038495772140632,0,582,"[9, 29, 13, 34]"
N4_M20,4,20,danger,14,True,True,10,39,10,0.9980314960629921,0,0,"[10, 10, 9, 10]"
N4_M20,4,20,danger,15,False,False,300,133,49,0.7458677685950413,0,767,"[42, 49, 0, 42]"
N4_M20,4,20,danger,16,True,True,5,18,5,0.9878048780487805,0,0,"[4, 4, 5, 5]"
N4_M20,4,20,danger,17,True,True,14,56,14,1.0,0,0,"[14, 14, 14, 14]"
N4_M20,4,20,danger,18,False,False,300,42,14,0.962882096069869,0,292,"[9, 14, 10, 9]"
N4_M20,4,20,danger,19,False,False,300,75,22,0.9456960322797578,0,836,"[21, 11, 22, 21]"
N4_M20,4,20,no_danger,0,False,False,300,31,11,0.8865313653136532,0,590,"[5, 10, 11, 5]"
N4_M20,4,20,no_danger,1,False,False,300,49,13,0.9987520798668885,0,288,"[12, 12, 12, 13]"
N4_M20,4,20,no_danger,2,False,False,300,30,9,0.9868421052631579,0,586,"[7, 7, 7, 9]"
N4_M20,4,20,no_danger,3,False,False,300,53,14,0.9960992907801418,0,286,"[12, 14, 14, 13]"
N4_M20,4,20,no_danger,4,True,True,11,43,11,0.9983801295896328,0,0,"[11, 11, 10, 11]"
N4_M20,4,20,no_danger,5,True,True,12,44,12,0.9918032786885246,0,4,"[10, 10, 12, 12]"
N4_M20,4,20,no_danger,6,False,False,300,44,12,0.9918032786885246,0,1156,"[10, 10, 12, 12]"
N4_M20,4,20,no_danger,7,True,True,8,23,8,0.8643790849673203,0,6,"[8, 4, 8, 3]"
N4_M20,4,20,no_danger,8,True,True,12,26,12,0.5827586206896552,0,22,"[1, 12, 12, 1]"
N4_M20,4,20,no_danger,9,True,True,9,26,9,0.9388888888888889,0,2,"[5, 7, 9, 5]"
N4_M20,4,20,no_danger,10,False,False,300,33,10,0.9758064516129032,0,291,"[7, 7, 9, 10]"
N4_M20,4,20,no_danger,11,False,False,300,34,10,0.9633333333333334,0,290,"[8, 10, 10, 6]"
N4_M20,4,20,no_danger,12,False,False,300,35,10,0.9847266881028939,0,291,"[9, 7, 10, 9]"
N4_M20,4,20,no_danger,13,False,False,300,610,300,0.5166620383226881,0,590,"[5, 300, 5, 300]"
N4_M20,4,20,no_danger,14,True,True,10,34,10,0.9697986577181208,0,1,"[10, 9, 6, 9]"
N4_M20,4,20,no_danger,15,True,True,14,56,14,1.0,0,0,"[14, 14, 14, 14]"
N4_M20,4,20,no_danger,16,True,True,5,18,5,0.9878048780487805,0,0,"[4, 4, 5, 5]"
N4_M20,4,20,no_danger,17,False,False,300,45,12,0.9985207100591716,0,0,"[11, 11, 12, 11]"
N4_M20,4,20,no_danger,18,False,False,300,42,12,0.9932432432432432,0,290,"[10, 12, 10, 10]"
N4_M20,4,20,no_danger,19,False,False,300,52,15,0.9912023460410557,0,289,"[12, 13, 15, 12]"
N5_M20,5,20,danger,0,False,False,300,46,11,0.9841860465116279,0,876,"[10, 11, 8, 9, 8]"
N5_M20,5,20,danger,1,False,False,300,61,13,0.9935914552736983,0,574,"[13, 11, 13, 13, 11]"
N5_M20,5,20,danger,2,False,False,300,54,12,0.9918367346938776,0,1446,"[12, 10, 10, 12, 10]"
N5_M20,5,20,danger,3,True,True,16,58,16,0.942296918767507,0,14,"[16, 14, 9, 10, 9]"
N5_M20,5,20,danger,4,True,True,12,50,12,0.9881422924901185,0,10,"[9, 12, 10, 9, 10]"
N5_M20,5,20,danger,5,True,True,23,87,23,0.9672843450479234,0,25,"[19, 23, 15, 15, 15]"
N5_M20,5,20,danger,6,False,False,300,61,14,0.9883134130146083,0,573,"[12, 14, 10, 12, 13]"
