map_seed,m,n,method,variant,rollout,success,steps,total_distance,max_distance,jain,obs_collisions,revealed,per_robot_distances
10000,20,2,ppo,seed0,0,True,15,20,13,0.9174311926605505,2,0.175,"[7, 13]"
10000,20,2,ppo,seed0,1,True,15,21,12,0.98,4,0.1725,"[9, 12]"
10000,20,2,ppo,seed0,2,True,12,21,12,0.98,0,0.1825,"[12, 9]"
10000,20,2,ppo,seed0,3,True,16,22,13,0.968,3,0.18,"[13, 9]"
10000,20,2,ppo,seed0,4,True,17,25,13,0.9984025559105432,1,0.18,"[12, 13]"
10000,20,2,ppo,seed1,0,True,19,29,16,0.9894117647058823,0,0.2025,"[13, 16]"
10000,20,2,ppo,seed1,1,True,15,21,12,0.98,3,0.1725,"[9, 12]"
10000,20,2,ppo,seed1,2,True,11,18,11,0.9529411764705882,0,0.1725,"[11, 7]"
10000,20,2,ppo,seed1,3,True,10,16,8,1.0,2,0.165,"[8, 8]"
10000,20,2,ppo,seed1,4,True,19,26,13,1.0,6,0.18,"[13, 13]"
10000,20,2,ppo,seed2,0,True,38,52,26,1.0,4,0.2275,"[26, 26]"
10000,20,2,ppo,seed2,1,True,15,23,12,0.9981132075471698,1,0.175,"[11, 12]"
10000,20,2,ppo,seed2,2,True,11,19,11,0.9756756756756757,0,0.1725,"[11, 8]"
10000,20,2,ppo,seed2,3,True,12,19,11,0.9756756756756757,1,0.1725,"[11, 8]"
10000,20,2,ppo,seed2,4,True,14,22,12,0.9918032786885246,3,0.1775,"[12, 10]"
10000,20,2,frontier,danger,0,True,23,46,23,1.0,0,0.3125,"[23, 23]"
10000,20,2,frontier,no_danger,0,True,16,32,16,1.0,0,0.27,"[16, 16]"
10000,20,3,ppo,seed0,0,True,23,44,22,0.8673835125448028,0,0.2,"[8, 14, 22]"
10000,20,3,ppo,seed0,1,True,72,126,50,0.9807264640474426,29,0.2825,"[40, 36, 50]"
10000,20,3,ppo,seed0,2,True,15,31,13,0.9677744209466264,4,0.1925,"[9, 13, 9]"
10000,20,3,ppo,seed0,3,True,26,56,20,0.9955555555555555,4,0.2475,"[17, 19, 20]"
10000,20,3,ppo,seed0,4,True,22,40,17,0.9626955475330926,3,0.2125,"[11, 17, 12]"
10000,20,3,ppo,seed1,0,True,32,57,22,0.9872379216043756,4,0.215,"[18, 17, 22]"
10000,20,3,ppo,seed1,1,True,40,64,27,0.9494668521094112,9,0.25,"[22, 27, 15]"
10000,20,3,ppo,seed1,2,True,12,28,11,0.9824561403508771,0,0.1825,"[11, 8, 9]"
10000,20,3,ppo,seed1,3,True,61,112,41,0.9856985698569857,15,0.2775,"[41, 40, 31]"
10000,20,3,ppo,seed1,4,True,23,39,14,0.9883040935672515,8,0.2125,"[14, 11, 14]"
10000,20,3,ppo,seed2,0,True,23,49,17,0.9991677070328756,0,0.2175,"[16, 17, 16]"
10000,20,3,ppo,seed2,1,True,31,56,20,0.9955555555555555,7,0.2325,"[17, 20, 19]"
10000,20,3,ppo,seed2,2,True,24,44,16,0.983739837398374,7,0.225,"[16, 16, 12]"
10000,20,3,ppo,seed2,3,True,43,87,31,0.994481671265274,9,0.2775,"[26, 31, 30]"
10000,20,3,ppo,seed2,4,True,63,109,38,0.9958092364428799,11,0.35,"[38, 33, 38]"
10000,20,3,frontier,danger,0,False,300,119,53,0.8156788203444502,0,0.4425,"[13, 53, 53]"
10000,20,3,frontier,no_danger,0,False,300,66,23,0.9986244841815681,0,0.31,"[21, 22, 23]"
10000,20,4,ppo,seed0,0,True,36,96,29,0.9713322091062394,13,0.245,"[29, 27, 19, 21]"
10000,20,4,ppo,seed0,1,True,56,145,45,0.9692513368983957,24,0.2425,"[38, 45, 27, 35]"
10000,20,4,ppo,seed0,2,True,23,57,20,0.8650159744408946,9,0.2075,"[15, 20, 17, 5]"
10000,20,4,ppo,seed0,3,True,26,78,23,0.9518147684605757,0,0.2425,"[22, 21, 23, 12]"
10000,20,4,ppo,seed0,4,True,35,99,31,0.9773633825289191,11,0.225,"[24, 31, 23, 21]"
10000,20,4,ppo,seed1,0,True,21,50,17,0.9556574923547401,2,0.2125,"[12, 10, 17, 11]"
10000,20,4,ppo,seed1,1,True,48,99,29,0.9828519855595668,20,0.2275,"[26, 20, 24, 29]"
10000,20,4,ppo,seed1,2,True,16,37,12,0.9275067750677507,8,0.2,"[10, 10, 12, 5]"
10000,20,4,ppo,seed1,3,True,46,109,32,0.9838522689632329,11,0.2825,"[25, 29, 32, 23]"
10000,20,4,ppo,seed1,4,True,23,62,17,0.9886831275720165,2,0.185,"[15, 13, 17, 17]"
10000,20,4,ppo,seed2,0,True,31,72,23,0.9515418502202643,8,0.255,"[23, 12, 20, 17]"
10000,20,4,ppo,seed2,1,True,72,163,44,0.9953918777161697,21,0.26,"[43, 38, 38, 44]"
10000,20,4,ppo,seed2,2,True,17,32,13,0.8258064516129032,10,0.1975,"[5, 10, 13, 4]"
10000,20,4,ppo,seed2,3,True,25,72,22,0.962852897473997,0,0.26,"[14, 21, 22, 15]"
10000,20,4,ppo,seed2,4,True,66,145,45,0.971760029580329,13,0.2375,"[45, 34, 38, 28]"
10000,20,4,frontier,danger,0,True,80,114,80,0.47807533843437316,0,0.49,"[10, 14, 80, 10]"
10000,20,4,frontier,no_danger,0,False,300,31,11,0.8865313653136532,0,0.2025,"[5, 10, 11, 5]"
10000,20,5,ppo,seed0,0,True,77,241,57,0.977547757300345,4,0.405,"[48, 55, 44, 37, 57]"
10000,20,5,ppo,seed0,1,True,19,69,17,0.9806385169927909,0,0.3175,"[15, 13, 12, 12, 17]"
10000,20,5,ppo,seed0,2,True,44,147,32,0.9923765786452353,14,0.3325,"[32, 29, 25, 29, 32]"
10000,20,5,ppo,seed0,3,True,36,139,31,0.9860168410308752,6,0.3325,"[31, 27, 31, 28, 22]"
