config,method,success,steps,total_distance,max_distance,jain,obs_collisions,revealed
N2_M20,ppo,1.0,26.344,32.922,18.6,0.977,9.144,0.179
N2_M20,frontier,1.0,9.833,19.667,9.833,1.0,0.0,0.176
N3_M20,ppo,0.978,71.156,115.378,44.589,0.975,32.6,0.282
N3_M20,frontier,0.833,62.0,53.667,20.833,0.963,0.0,0.276
N4_M20,ppo,0.978,80.433,164.111,48.878,0.968,42.989,0.326
N4_M20,frontier,0.833,73.333,70.667,28.667,0.892,0.0,0.344
N5_M20,ppo,0.889,108.8,276.067,66.822,0.968,66.411,0.385
N5_M20,frontier,0.5,158.5,59.333,14.5,0.978,0.0,0.295
N5_M25,ppo,1.0,50.167,156.467,36.067,0.981,6.467,0.213
N5_M25,frontier,0.5,157.5,37.5,14.0,0.751,0.0,0.167
