config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N3_M20,3,20,0,0,0,1,23,10.27,11.0,44.0,22.0,0.8674,0,1
N3_M20,3,20,0,0,1,1,128,55.53,51.5,206.0,84.0,0.9723,59,5
N3_M20,3,20,0,0,2,1,17,7.93,8.5,34.0,14.0,0.9731,4,4
N3_M20,3,20,0,0,3,1,26,12.13,14.25,57.0,20.0,0.9945,3,0
N3_M20,3,20,0,0,4,1,22,10.27,10.0,40.0,17.0,0.9627,3,2
N3_M20,3,20,0,1,0,1,34,15.4,15.5,62.0,25.0,0.9692,15,0
N3_M20,3,20,0,1,1,1,117,41.53,32.5,130.0,56.0,0.9474,40,3
N3_M20,3,20,0,1,2,1,79,31.27,29.75,119.0,45.0,0.9711,25,3
N3_M20,3,20,0,1,3,1,40,17.27,17.0,68.0,28.0,0.9433,10,0
N3_M20,3,20,0,1,4,1,44,16.33,16.75,67.0,28.0,0.961,10,0
N3_M20,3,20,0,2,0,0,300,94.73,75.75,303.0,113.0,0.9927,152,61
N3_M20,3,20,0,2,1,1,74,20.53,19.0,76.0,30.0,0.9588,35,11
N3_M20,3,20,0,2,2,1,82,32.2,30.25,121.0,49.0,0.9586,35,5
N3_M20,3,20,0,2,3,1,35,15.4,14.75,59.0,24.0,0.9726,16,0
N3_M20,3,20,0,2,4,1,92,31.73,25.0,100.0,36.0,0.9944,78,3
N3_M20,3,20,0,3,0,1,37,16.33,15.75,63.0,25.0,0.9764,12,0
N3_M20,3,20,0,3,1,1,30,13.53,12.0,48.0,21.0,0.9481,16,0
N3_M20,3,20,0,3,2,1,28,12.6,14.5,58.0,21.0,0.9959,4,0
N3_M20,3,20,0,3,3,1,54,20.07,19.75,79.0,32.0,0.9753,31,0
N3_M20,3,20,0,3,4,1,125,52.27,48.5,194.0,70.0,0.9952,50,4
N3_M20,3,20,0,4,0,1,21,8.87,8.25,33.0,15.0,0.938,12,1
N3_M20,3,20,0,4,1,1,56,20.53,16.75,67.0,27.0,0.9672,42,3
N3_M20,3,20,0,4,2,1,29,12.6,13.25,53.0,21.0,0.9805,9,0
N3_M20,3,20,0,4,3,1,16,7.0,6.75,27.0,14.0,0.8294,1,0
N3_M20,3,20,0,4,4,1,60,22.4,21.25,85.0,34.0,0.9375,31,12
N3_M20,3,20,0,5,0,1,103,30.33,30.0,120.0,42.0,0.995,45,20
N3_M20,3,20,0,5,1,1,52,23.33,21.25,85.0,34.0,0.9754,18,2
N3_M20,3,20,0,5,2,1,138,52.73,45.25,181.0,69.0,0.9853,77,7
N3_M20,3,20,0,5,3,1,13,6.07,6.25,25.0,9.0,0.9874,1,0
N3_M20,3,20,0,5,4,1,94,35.47,31.5,126.0,49.0,0.984,40,7
N3_M20,3,20,0,6,0,0,300,96.6,69.75,279.0,98.0,0.997,139,14
N3_M20,3,20,0,6,1,1,24,9.8,11.0,44.0,17.0,0.969,4,0
N3_M20,3,20,0,6,2,1,79,31.27,24.75,99.0,47.0,0.8929,51,0
N3_M20,3,20,0,6,3,1,265,78.87,62.0,248.0,88.0,0.9964,171,24
N3_M20,3,20,0,6,4,1,105,37.8,33.25,133.0,54.0,0.9767,32,4
N3_M20,3,20,0,7,0,1,160,58.8,44.5,178.0,82.0,0.7968,95,17
N3_M20,3,20,0,7,1,1,178,54.6,41.5,166.0,80.0,0.8165,129,11
N3_M20,3,20,0,7,2,1,165,49.47,40.0,160.0,67.0,0.9053,115,28
N3_M20,3,20,0,7,3,1,245,78.4,64.25,257.0,119.0,0.8931,172,18
