config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,0,0,0,1,35,15.87,22.5,90.0,26.0,0.9754,13,1
N4_M20,4,20,0,0,1,1,25,11.67,18.0,72.0,21.0,0.9893,6,1
N4_M20,4,20,0,0,2,1,23,10.27,14.25,57.0,20.0,0.865,9,7
N4_M20,4,20,0,0,3,1,26,12.13,19.5,78.0,23.0,0.9518,0,1
N4_M20,4,20,0,0,4,1,35,16.33,22.25,89.0,27.0,0.9847,11,10
N4_M20,4,20,0,1,0,1,37,16.8,23.0,92.0,27.0,0.9787,5,10
N4_M20,4,20,0,1,1,1,33,15.4,22.25,89.0,27.0,0.9808,1,1
N4_M20,4,20,0,1,2,1,66,28.93,36.25,145.0,48.0,0.9572,23,16
N4_M20,4,20,0,1,3,1,47,21.93,28.5,114.0,33.0,0.9899,11,2
N4_M20,4,20,0,1,4,1,36,16.33,24.0,96.0,25.0,0.9991,1,3
N4_M20,4,20,0,2,0,1,58,23.8,28.75,115.0,38.0,0.9353,30,15
N4_M20,4,20,0,2,1,1,193,77.0,79.25,317.0,100.0,0.9707,88,82
N4_M20,4,20,0,2,2,1,46,20.53,24.25,97.0,33.0,0.942,27,11
N4_M20,4,20,0,2,3,1,50,21.0,25.5,102.0,36.0,0.9417,20,16
N4_M20,4,20,0,2,4,1,42,18.67,21.5,86.0,27.0,0.9424,17,18
N4_M20,4,20,0,3,0,1,45,20.07,23.25,93.0,30.0,0.9397,40,8
N4_M20,4,20,0,3,1,1,33,15.4,20.5,82.0,30.0,0.9226,10,4
N4_M20,4,20,0,3,2,1,168,73.27,82.0,328.0,110.0,0.9402,107,23
N4_M20,4,20,0,3,3,1,65,28.0,32.0,128.0,43.0,0.8748,43,12
N4_M20,4,20,0,3,4,1,204,86.8,94.25,377.0,115.0,0.9239,110,36
N4_M20,4,20,0,4,0,1,40,18.67,26.75,107.0,31.0,0.9873,3,4
N4_M20,4,20,0,4,1,1,17,7.47,11.0,44.0,13.0,0.9798,3,0
N4_M20,4,20,0,4,2,1,137,59.27,68.0,272.0,76.0,0.9791,64,49
N4_M20,4,20,0,4,3,1,31,14.0,18.5,74.0,21.0,0.9935,3,3
N4_M20,4,20,0,4,4,1,52,23.33,30.5,122.0,34.0,0.9787,9,13
N4_M20,4,20,0,5,0,1,24,10.73,16.25,65.0,17.0,0.9974,9,0
N4_M20,4,20,0,5,1,1,68,30.8,39.0,156.0,47.0,0.9744,33,11
N4_M20,4,20,0,5,2,1,149,59.27,65.25,261.0,81.0,0.9788,69,40
N4_M20,4,20,0,5,3,1,68,29.4,34.25,137.0,47.0,0.9067,37,5
N4_M20,4,20,0,5,4,1,22,10.27,15.25,61.0,20.0,0.8988,15,1
N4_M20,4,20,0,6,0,1,156,69.53,89.5,358.0,102.0,0.9796,89,15
N4_M20,4,20,0,6,1,1,65,30.33,41.0,164.0,47.0,0.992,21,5
N4_M20,4,20,0,6,2,1,32,14.47,23.75,95.0,27.0,0.9857,9,0
N4_M20,4,20,0,6,3,1,39,18.2,26.5,106.0,32.0,0.9829,11,2
N4_M20,4,20,0,6,4,1,45,20.07,29.5,118.0,33.0,0.9923,18,0
N4_M20,4,20,0,7,0,1,35,15.87,18.25,73.0,20.0,0.989,19,5
N4_M20,4,20,0,7,1,0,300,114.8,109.0,436.0,133.0,0.9741,129,130
N4_M20,4,20,0,7,2,1,50,22.87,27.25,109.0,34.0,0.9408,29,4
N4_M20,4,20,0,7,3,1,51,21.93,27.0,108.0,31.0,0.9898,35,5
N4_M20,4,20,0,7,4,1,35,16.33,23.25,93.0,26.0,0.9869,3,10
N4_M20,4,20,0,8,0,1,20,8.87,12.0,48.0,15.0,0.9568,6,2
N4_M20,4,20,0,8,1,1,47,20.07,24.0,96.0,31.0,0.9435,22,4
N4_M20,4,20,0,8,2,1,37,14.93,17.25,69.0,23.0,0.9545,4,7
N4_M20,4,20,0,8,3,1,20,9.33,13.0,52.0,16.0,0.9741,2,1
N4_M20,4,20,0,8,4,1,38,16.33,20.5,82.0,26.0,0.9739,15,1
N4_M20,4,20,0,9,0,1,16,7.47,11.0,44.0,12.0,0.9959,0,2
N4_M20,4,20,0,9,1,1,12,5.6,10.0,40.0,12.0,0.9756,0,0
N4_M20,4,20,0,9,2,1,18,7.93,13.0,52.0,15.0,0.9797,0,2
N4_M20,4,20,0,9,3,1,34,15.4,21.5,86.0,22.0,0.9984,0,6
N4_M20,4,20,0,9,4,1,22,10.27,14.25,57.0,15.0,0.9966,0,6
N4_M20,4,20,1,0,0,1,20,9.33,12.75,51.0,15.0,0.9778,2,1
N4_M20,4,20,1,0,1,1,44,18.2,24.25,97.0,28.0,0.9822,13,16
N4_M20,4,20,1,0,2,1,18,8.4,11.5,46.0,14.0,0.948,9,2
N4_M20,4,20,1,0,3,1,46,20.53,28.0,112.0,32.0,0.9776,12,10
N4_M20,4,20,1,0,4,1,60,24.73,30.75,123.0,36.0,0.9837,24,23
N4_M20,4,20,1,1,0,1,23,10.73,16.0,64.0,21.0,0.9642,3,5
N4_M20,4,20,1,1,1,1,37,16.8,23.25,93.0,28.0,0.9735,3,13
N4_M20,4,20,1,1,2,1,71,28.93,36.75,147.0,45.0,0.976,42,17
N4_M20,4,20,1,1,3,1,33,14.93,19.5,78.0,23.0,0.9775,11,4
N4_M20,4,20,1,1,4,1,25,11.2,17.25,69.0,22.0,0.9732,5,1
N4_M20,4,20,1,2,0,1,58,25.2,28.0,112.0,33.0,0.9626,44,8
N4_M20,4,20,1,2,1,1,296,114.8,115.5,462.0,137.0,0.9878,148,110
N4_M20,4,20,1,2,2,1,73,28.0,30.5,122.0,40.0,0.9411,21,56
N4_M20,4,20,1,2,3,1,37,16.33,21.5,86.0,26.0,0.9783,20,7
N4_M20,4,20,1,2,4,1,42,18.67,24.0,96.0,27.0,0.994,17,10
N4_M20,4,20,1,3,0,1,211,80.73,83.0,332.0,96.0,0.9735,152,50
N4_M20,4,20,1,3,1,1,59,26.6,34.5,138.0,39.0,0.9906,12,6
N4_M20,4,20,1,3,2,1,223,92.87,99.75,399.0,141.0,0.9455,140,29
N4_M20,4,20,1,3,3,1,60,25.67,31.5,126.0,34.0,0.9918,30,5
N4_M20,4,20,1,3,4,1,108,47.13,50.25,201.0,67.0,0.9613,60,20
N4_M20,4,20,1,4,0,1,94,41.07,43.75,175.0,62.0,0.9036,52,14
N4_M20,4,20,1,4,1,1,70,29.4,30.5,122.0,38.0,0.9326,30,20
N4_M20,4,20,1,4,2,1,162,66.73,69.75,279.0,83.0,0.9865,57,33
N4_M20,4,20,1,4,3,1,60,25.67,30.0,120.0,38.0,0.936,21,5
N4_M20,4,20,1,4,4,1,135,57.4,65.5,262.0,76.0,0.9579,72,19
N4_M20,4,20,1,5,0,1,18,7.93,13.75,55.0,16.0,0.9809,1,1
N4_M20,4,20,1,5,1,1,124,55.07,72.0,288.0,77.0,0.9955,44,38
N4_M20,4,20,1,5,2,1,149,62.07,67.25,269.0,103.0,0.828,162,27
N4_M20,4,20,1,5,3,1,154,66.27,75.5,302.0,83.0,0.9944,99,29
N4_M20,4,20,1,5,4,1,14,6.53,11.5,46.0,14.0,0.9796,0,2
N4_M20,4,20,1,6,0,1,96,43.4,53.5,214.0,62.0,0.9846,35,24
N4_M20,4,20,1,6,1,1,98,44.33,52.5,210.0,66.0,0.9536,30,19
N4_M20,4,20,1,6,2,1,108,45.73,58.5,234.0,70.0,0.9685,37,12
N4_M20,4,20,1,6,3,1,57,25.67,34.25,137.0,39.0,0.9802,14,12
N4_M20,4,20,1,6,4,1,41,18.67,27.25,109.0,31.0,0.9774,5,5
N4_M20,4,20,1,7,0,1,48,19.6,23.5,94.0,29.0,0.974,20,15
N4_M20,4,20,1,7,1,1,41,18.67,24.25,97.0,28.0,0.9913,15,12
N4_M20,4,20,1,7,2,1,41,18.67,23.25,93.0,25.0,0.9941,16,3
N4_M20,4,20,1,7,3,1,21,9.8,12.25,49.0,14.0,0.9856,12,0
N4_M20,4,20,1,7,4,1,16,7.47,9.75,39.0,13.0,0.8989,3,1
N4_M20,4,20,1,8,0,1,90,38.73,49.25,197.0,56.0,0.9859,50,7
N4_M20,4,20,1,8,1,1,63,27.53,33.25,133.0,36.0,0.9843,25,7
N4_M20,4,20,1,8,2,1,65,28.0,31.75,127.0,36.0,0.9691,18,18
N4_M20,4,20,1,8,3,1,95,42.0,51.0,204.0,56.0,0.9941,49,28
N4_M20,4,20,1,8,4,1,26,11.2,12.75,51.0,18.0,0.9383,13,5
