config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,0,0,0,1,32,14.47,18.75,75.0,22.0,0.9868,7,10
N4_M20,4,20,0,0,1,1,46,20.07,29.5,118.0,37.0,0.9767,17,10
N4_M20,4,20,0,0,2,1,26,12.13,15.5,62.0,20.0,0.933,14,8
N4_M20,4,20,0,1,0,1,51,23.33,30.0,120.0,37.0,0.9245,22,7
N4_M20,4,20,0,1,1,1,33,15.4,22.25,89.0,27.0,0.9808,1,1
N4_M20,4,20,0,1,2,1,53,22.87,30.75,123.0,39.0,0.9671,21,12
N4_M20,4,20,0,2,0,1,45,18.67,22.5,90.0,30.0,0.9366,28,10
N4_M20,4,20,0,2,1,0,300,64.4,44.75,179.0,92.0,0.7126,458,64
N4_M20,4,20,0,2,2,1,46,20.07,23.25,93.0,31.0,0.9438,29,13
N4_M20,4,20,0,3,0,1,47,20.07,28.25,113.0,36.0,0.9706,26,8
N4_M20,4,20,0,3,1,1,32,14.93,21.0,84.0,29.0,0.9363,10,3
N4_M20,4,20,0,3,2,1,82,35.47,39.75,159.0,58.0,0.918,58,17
N4_M20,4,20,1,0,0,1,24,11.2,15.25,61.0,18.0,0.97,3,0
N4_M20,4,20,1,0,1,1,44,19.13,25.25,101.0,30.0,0.9843,13,15
N4_M20,4,20,1,0,2,1,18,8.4,11.5,46.0,14.0,0.948,8,2
N4_M20,4,20,1,1,0,1,36,16.8,21.5,86.0,28.0,0.961,13,8
N4_M20,4,20,1,1,1,1,23,10.73,17.75,71.0,20.0,0.99,2,0
N4_M20,4,20,1,1,2,1,42,19.13,27.75,111.0,29.0,0.9985,15,6
N4_M20,4,20,1,2,0,1,64,27.53,31.25,125.0,37.0,0.9633,45,11
N4_M20,4,20,1,2,1,1,113,45.73,47.5,190.0,63.0,0.8895,93,18
N4_M20,4,20,1,2,2,1,298,85.4,65.25,261.0,137.0,0.7082,476,31
N4_M20,4,20,1,3,0,1,90,36.4,37.0,148.0,46.0,0.939,72,15
N4_M20,4,20,1,3,1,1,31,14.47,19.25,77.0,21.0,0.9901,12,0
N4_M20,4,20,1,3,2,1,252,101.27,107.0,428.0,132.0,0.9629,131,54
N4_M20,4,20,2,0,0,1,31,13.53,18.0,72.0,23.0,0.9515,10,5
N4_M20,4,20,2,0,1,1,52,22.87,29.0,116.0,32.0,0.9923,17,10
N4_M20,4,20,2,0,2,1,16,7.47,8.75,35.0,12.0,0.9197,10,2
N4_M20,4,20,2,1,0,1,60,27.53,38.25,153.0,47.0,0.9684,13,4
N4_M20,4,20,2,1,1,1,30,13.07,17.75,71.0,21.0,0.9884,1,3
N4_M20,4,20,2,1,2,1,47,21.0,29.75,119.0,31.0,0.9981,15,7
N4_M20,4,20,2,2,0,1,290,100.33,87.0,348.0,143.0,0.8602,295,53
N4_M20,4,20,2,2,1,1,209,75.6,66.0,264.0,82.0,0.965,228,19
N4_M20,4,20,2,2,2,1,24,11.2,14.5,58.0,17.0,0.9779,11,2
N4_M20,4,20,2,3,0,1,48,20.07,22.75,91.0,31.0,0.9415,42,5
N4_M20,4,20,2,3,1,1,33,15.4,19.75,79.0,22.0,0.9919,19,0
N4_M20,4,20,2,3,2,1,40,16.33,23.75,95.0,25.0,0.9918,6,7
