config,n,m,train_seed,episode,sample,success,steps,sim_time_s,dist_m,dist_cells,max_dist_cells,jain,obstacle_rejections,robot_conflicts
N4_M20,4,20,0,0,0,1,35,15.87,22.5,90.0,26.0,0.9754,13,1
N4_M20,4,20,0,0,1,1,25,11.67,18.0,72.0,21.0,0.9893,6,1
N4_M20,4,20,0,1,0,1,37,16.8,23.0,92.0,27.0,0.9787,5,10
N4_M20,4,20,0,1,1,1,33,15.4,22.25,89.0,27.0,0.9808,1,1
N4_M20,4,20,1,0,0,1,20,9.33,12.75,51.0,15.0,0.9778,2,1
N4_M20,4,20,1,0,1,1,44,18.2,24.25,97.0,28.0,0.9822,13,16
N4_M20,4,20,1,1,0,1,23,10.73,16.0,64.0,21.0,0.9642,3,5
N4_M20,4,20,1,1,1,1,37,16.8,23.25,93.0,28.0,0.9735,3,13
N4_M20,4,20,2,0,0,1,31,13.53,18.0,72.0,23.0,0.9515,9,5
N4_M20,4,20,2,0,1,1,72,32.2,40.75,163.0,44.0,0.9954,21,18
N4_M20,4,20,2,1,0,1,28,12.6,18.25,73.0,25.0,0.9389,4,1
N4_M20,4,20,2,1,1,1,30,13.53,19.0,76.0,22.0,0.9904,1,2
