method,heuristic,n,m,train_seed,episode,success,steps,total_distance,max_distance,wall_ms_per_step
ppo,,2,20,0,0,False,300,15,8,0.5962213333333333
astar,median,2,20,-1,0,True,25,23,12,
astar,component,2,20,-1,0,True,23,31,16,
astar,bbox,2,20,-1,0,True,25,23,12,
ppo,,2,20,0,1,True,11,22,11,0.5487999999999957
astar,median,2,20,-1,1,True,12,23,12,
astar,component,2,20,-1,1,True,42,65,34,
astar,bbox,2,20,-1,1,True,12,23,12,
ppo,,2,20,0,2,False,300,4,3,0.5030020000000013
astar,median,2,20,-1,2,True,35,22,12,
astar,component,2,20,-1,2,True,22,27,14,
astar,bbox,2,20,-1,2,True,9,15,8,
ppo,,2,20,0,3,False,300,20,10,0.5048836666666661
astar,median,2,20,-1,3,True,15,23,14,
astar,component,2,20,-1,3,True,31,36,19,
astar,bbox,2,20,-1,3,True,15,23,14,
ppo,,2,20,0,4,True,7,14,7,0.43501428571428896
astar,median,2,20,-1,4,True,6,12,6,
astar,component,2,20,-1,4,True,22,29,19,
astar,bbox,2,20,-1,4,True,6,12,6,
ppo,,2,20,0,5,False,300,15,8,0.5476896666666656
astar,median,2,20,-1,5,True,14,20,11,
astar,component,2,20,-1,5,True,21,24,13,
astar,bbox,2,20,-1,5,True,14,20,11,
ppo,,2,20,0,6,True,3,6,3,0.43923333333332576
astar,median,2,20,-1,6,True,3,6,3,
astar,component,2,20,-1,6,True,8,10,7,
astar,bbox,2,20,-1,6,True,3,6,3,
ppo,,2,20,0,7,True,4,6,4,0.39959999999994444
astar,median,2,20,-1,7,True,3,6,3,
astar,component,2,20,-1,7,True,9,12,8,
astar,bbox,2,20,-1,7,True,3,6,3,
ppo,,2,20,0,8,False,300,5,4,0.6003083333333326
astar,median,2,20,-1,8,True,29,13,8,
astar,component,2,20,-1,8,True,15,15,9,
astar,bbox,2,20,-1,8,True,29,13,8,
ppo,,2,20,0,9,False,300,9,9,0.5839719999999993
astar,median,2,20,-1,9,True,4,8,4,
astar,component,2,20,-1,9,True,31,14,8,
astar,bbox,2,20,-1,9,True,26,11,6,
ppo,,2,20,0,10,True,3,4,3,0.3830666666666538
astar,median,2,20,-1,10,True,12,4,2,
astar,component,2,20,-1,10,True,3,3,3,
astar,bbox,2,20,-1,10,True,12,4,2,
ppo,,2,20,0,11,True,3,6,3,0.66190000000003
astar,median,2,20,-1,11,True,3,6,3,
astar,component,2,20,-1,11,True,8,10,7,
astar,bbox,2,20,-1,11,True,3,6,3,
ppo,,2,20,0,12,True,14,16,14,0.670135714285726
astar,median,2,20,-1,12,True,9,14,9,
astar,component,2,20,-1,12,True,21,21,13,
astar,bbox,2,20,-1,12,True,9,14,9,
ppo,,2,20,0,13,False,300,15,8,0.5034763333333325
astar,median,2,20,-1,13,True,13,24,13,
astar,component,2,20,-1,13,True,41,54,31,
astar,bbox,2,20,-1,13,True,13,24,13,
ppo,,2,20,0,14,False,300,0,0,0.5521049999999997
astar,median,2,20,-1,14,True,7,14,7,
astar,component,2,20,-1,14,True,22,32,17,
astar,bbox,2,20,-1,14,True,7,14,7,
ppo,,2,20,0,15,False,300,1,1,0.5324646666666677
astar,median,2,20,-1,15,True,11,18,11,
astar,component,2,20,-1,15,True,27,31,17,
astar,bbox,2,20,-1,15,True,11,18,11,
ppo,,2,20,0,16,True,5,5,5,0.5627199999999277
astar,median,2,20,-1,16,True,3,6,3,
astar,component,2,20,-1,16,True,8,10,7,
astar,bbox,2,20,-1,16,True,3,6,3,
ppo,,2,20,0,17,True,4,8,4,0.41097500000009113
astar,median,2,20,-1,17,True,5,10,5,
astar,component,2,20,-1,17,True,12,16,9,
astar,bbox,2,20,-1,17,True,5,10,5,
ppo,,2,20,0,18,True,4,8,4,0.35775000000004553
astar,median,2,20,-1,18,True,4,8,4,
astar,component,2,20,-1,18,True,12,16,9,
astar,bbox,2,20,-1,18,True,4,8,4,
ppo,,2,20,0,19,True,1,2,1,0.48660000000033676
astar,median,2,20,-1,19,True,1,2,1,
astar,component,2,20,-1,19,True,1,1,1,
astar,bbox,2,20,-1,19,True,1,2,1,
ppo,,2,20,1,0,False,300,14,7,0.5166270000000021
ppo,,2,20,1,1,True,11,22,11,0.7574181818181813
ppo,,2,20,1,2,False,300,6,3,0.5276206666666667
ppo,,2,20,1,3,False,300,19,10,0.506537000000001
ppo,,2,20,1,4,False,300,12,7,0.5276399999999981
ppo,,2,20,1,5,False,300,8,4,0.5157640000000008
ppo,,2,20,1,6,True,7,7,7,0.3861857142857567
ppo,,2,20,1,7,False,300,6,3,0.5579476666666642
ppo,,2,20,1,8,False,300,6,4,0.5177359999999975
ppo,,2,20,1,9,False,300,4,4,0.5381069999999994
ppo,,2,20,1,10,False,300,5,4,0.5259076666666651
ppo,,2,20,1,11,True,3,6,3,0.489433333333326
ppo,,2,20,1,12,False,300,17,15,0.5048906666666664
ppo,,2,20,1,13,False,300,10,7,0.5360276666666675
ppo,,2,20,1,14,True,13,14,12,0.6664538461538592
ppo,,2,20,1,15,False,300,1,1,0.5589096666666677
ppo,,2,20,1,16,True,4,5,4,0.6207000000000296
ppo,,2,20,1,17,True,4,8,4,0.3678750000000175
ppo,,2,20,1,18,True,6,8,6,0.35216666666674595
ppo,,2,20,1,19,True,1,2,1,0.4431000000000296
ppo,,2,20,2,0,False,300,17,11,0.5102320000000009
ppo,,2,20,2,1,False,300,18,14,0.48267366666666867
ppo,,2,20,2,2,False,300,10,9,0.5085693333333344
ppo,,2,20,2,3,False,300,26,13,0.5300543333333341
ppo,,2,20,2,4,True,7,14,7,0.3697285714286482
ppo,,2,20,2,5,True,10,13,10,0.5842900000000206
ppo,,2,20,2,6,True,3,6,3,0.3856666666666915
ppo,,2,20,2,7,False,300,6,4,0.5282973333333333
ppo,,2,20,2,8,False,300,6,4,0.5241030000000002
ppo,,2,20,2,9,False,300,1,1,0.5429260000000014
ppo,,2,20,2,10,True,3,4,3,0.39599999999998897
ppo,,2,20,2,11,True,5,6,5,0.4556600000000799
ppo,,2,20,2,12,True,11,13,11,1.0590090909091385
ppo,,2,20,2,13,False,300,24,21,0.5946653333333322
ppo,,2,20,2,14,True,9,12,9,0.6215666666666348
ppo,,2,20,2,15,False,300,1,1,0.6312479999999976
ppo,,2,20,2,16,False,300,4,2,0.7712876666666624
ppo,,2,20,2,17,True,5,10,5,0.9943400000000935
ppo,,2,20,2,18,True,5,10,5,1.1518599999998713
ppo,,2,20,2,19,True,1,2,1,0.5284999999997098
ppo,,3,20,0,0,True,7,21,7,0.6148285714286621
astar,median,3,20,-1,0,True,21,20,18,
astar,component,3,20,-1,0,True,51,53,25,
astar,bbox,3,20,-1,0,True,14,30,10,
ppo,,3,20,0,1,False,300,315,300,0.712069333333331
astar,median,3,20,-1,1,True,12,29,11,
astar,component,3,20,-1,1,True,28,55,23,
astar,bbox,3,20,-1,1,True,27,31,15,
ppo,,3,20,0,2,False,300,5,3,0.7371473333333315
astar,median,3,20,-1,2,True,37,20,15,
astar,component,3,20,-1,2,True,56,32,21,
astar,bbox,3,20,-1,2,True,16,18,12,
ppo,,3,20,0,3,False,300,21,12,0.7296776666666697
astar,median,3,20,-1,3,True,11,22,11,
astar,component,3,20,-1,3,True,18,32,13,
astar,bbox,3,20,-1,3,True,27,38,14,
ppo,,3,20,0,4,False,300,8,6,0.761192666666665
astar,median,3,20,-1,4,True,15,17,15,
astar,component,3,20,-1,4,True,24,45,21,
astar,bbox,3,20,-1,4,True,20,28,10,
ppo,,3,20,0,5,False,300,19,7,0.6647093333333309
astar,median,3,20,-1,5,True,13,18,9,
astar,component,3,20,-1,5,True,21,36,14,
astar,bbox,3,20,-1,5,True,11,20,7,
ppo,,3,20,0,6,False,300,24,12,0.7149956666666668
astar,median,3,20,-1,6,True,29,28,26,
astar,component,3,20,-1,6,True,43,87,29,
astar,bbox,3,20,-1,6,True,15,42,15,
ppo,,3,20,0,7,False,300,7,7,0.7288519999999998
astar,median,3,20,-1,7,True,17,19,11,
astar,component,3,20,-1,7,True,17,27,11,
astar,bbox,3,20,-1,7,True,39,29,13,
ppo,,3,20,0,8,False,300,16,8,0.6871623333333332
astar,median,3,20,-1,8,True,12,18,9,
astar,component,3,20,-1,8,True,21,34,15,
astar,bbox,3,20,-1,8,True,7,21,7,
ppo,,3,20,0,9,False,300,13,7,0.7863026666666665
astar,median,3,20,-1,9,True,39,13,8,
astar,component,3,20,-1,9,True,31,25,10,
astar,bbox,3,20,-1,9,True,18,18,8,
ppo,,3,20,0,10,False,300,14,6,0.7416243333333306
astar,median,3,20,-1,10,True,8,13,8,
astar,component,3,20,-1,10,True,13,27,12,
astar,bbox,3,20,-1,10,True,7,18,7,
ppo,,3,20,0,11,True,6,15,6,0.8299666666665336
astar,median,3,20,-1,11,True,5,10,5,
astar,component,3,20,-1,11,True,5,10,5,
astar,bbox,3,20,-1,11,True,5,13,5,
ppo,,3,20,0,12,False,300,16,12,0.7603330000000005
astar,median,3,20,-1,12,True,19,22,13,
astar,component,3,20,-1,12,True,25,32,17,
astar,bbox,3,20,-1,12,True,38,37,14,
ppo,,3,20,0,13,False,300,10,6,0.7562916666666671
astar,median,3,20,-1,13,True,22,30,16,
astar,component,3,20,-1,13,True,19,44,18,
astar,bbox,3,20,-1,13,True,18,38,14,
ppo,,3,20,0,14,False,300,17,12,0.7370726666666686
astar,median,3,20,-1,14,True,23,22,17,
astar,component,3,20,-1,14,True,22,42,17,
astar,bbox,3,20,-1,14,True,34,36,13,
ppo,,3,20,0,15,False,300,2,2,0.8162783333333342
astar,median,3,20,-1,15,True,16,23,14,
astar,component,3,20,-1,15,True,21,42,21,
astar,bbox,3,20,-1,15,True,9,25,9,
ppo,,3,20,0,16,True,5,15,5,0.7269399999998427
astar,median,3,20,-1,16,True,5,9,5,
astar,component,3,20,-1,16,True,6,10,6,
astar,bbox,3,20,-1,16,True,4,12,4,
ppo,,3,20,0,17,True,4,8,4,1.30349999999968
astar,median,3,20,-1,17,True,5,9,5,
astar,component,3,20,-1,17,True,8,17,7,
astar,bbox,3,20,-1,17,True,5,11,5,
ppo,,3,20,0,18,False,300,14,10,0.7501116666666678
astar,median,3,20,-1,18,True,9,18,9,
astar,component,3,20,-1,18,True,21,33,12,
astar,bbox,3,20,-1,18,True,32,36,15,
ppo,,3,20,0,19,False,300,22,8,0.7926316666666662
astar,median,3,20,-1,19,True,18,21,18,
astar,component,3,20,-1,19,True,36,66,29,
astar,bbox,3,20,-1,19,True,45,33,13,
ppo,,3,20,1,0,True,13,21,13,0.9449615384615238
ppo,,3,20,1,1,False,300,17,9,0.6957636666666703
ppo,,3,20,1,2,False,300,7,3,0.7149910000000048
ppo,,3,20,1,3,False,300,315,300,0.8107673333333368
ppo,,3,20,1,4,False,300,16,6,0.7646630000000046
ppo,,3,20,1,5,False,300,21,8,0.7394406666666657
ppo,,3,20,1,6,False,300,44,21,0.7077573333333357
ppo,,3,20,1,7,False,300,309,292,0.679600666666668
ppo,,3,20,1,8,False,300,310,300,0.6807476666666664
ppo,,3,20,1,9,True,8,22,8,0.44141250000007126
ppo,,3,20,1,10,True,9,20,8,0.9302555555555061
ppo,,3,20,1,11,True,5,11,5,0.737140000000025
ppo,,3,20,1,12,False,300,29,16,0.6645976666666679
ppo,,3,20,1,13,False,300,17,7,0.638498666666667
ppo,,3,20,1,14,False,300,24,11,0.6229620000000047
ppo,,3,20,1,15,False,300,7,7,0.614747333333335
ppo,,3,20,1,16,True,6,17,6,0.43999999999992195
ppo,,3,20,1,17,True,5,12,5,0.46770000000009304
ppo,,3,20,1,18,False,300,25,10,0.6672326666666646
ppo,,3,20,1,19,False,300,28,10,0.6163329999999985
ppo,,3,20,2,0,False,300,19,7,0.5816446666666705
ppo,,3,20,2,1,False,300,19,9,0.6087126666666679
ppo,,3,20,2,2,False,300,6,3,0.5499149999999986
ppo,,3,20,2,3,False,300,20,13,0.5645199999999958
ppo,,3,20,2,4,False,300,7,6,0.6057023333333333
ppo,,3,20,2,5,False,300,16,6,0.608253999999994
ppo,,3,20,2,6,False,300,12,7,0.5373599999999948
ppo,,3,20,2,7,False,300,3,3,0.6233090000000038
ppo,,3,20,2,8,False,300,8,4,0.6060540000000003
ppo,,3,20,2,9,False,300,12,7,0.5890150000000105
ppo,,3,20,2,10,False,300,13,6,0.5735030000000071
ppo,,3,20,2,11,False,300,13,10,0.522209000000006
ppo,,3,20,2,12,False,300,17,11,0.5512713333333371
ppo,,3,20,2,13,False,300,18,12,0.5377559999999922
ppo,,3,20,2,14,False,300,19,10,0.5356276666666678
ppo,,3,20,2,15,False,300,5,5,0.5283123333333369
ppo,,3,20,2,16,True,9,9,9,0.471311111111403
ppo,,3,20,2,17,True,4,12,4,0.5161000000004634
ppo,,3,20,2,18,False,300,15,10,0.5577540000000051
ppo,,3,20,2,19,False,300,25,14,0.5508010000000022
ppo,,4,20,0,0,False,300,22,10,0.5707756666666697
astar,median,4,20,-1,0,True,91,51,25,
astar,component,4,20,-1,0,True,61,50,20,
astar,bbox,4,20,-1,0,True,33,32,10,
ppo,,4,20,0,1,False,300,78,21,0.6237183333333363
astar,median,4,20,-1,1,True,20,38,20,
astar,component,4,20,-1,1,True,20,58,18,
astar,bbox,4,20,-1,1,True,12,35,12,
ppo,,4,20,0,2,False,300,317,300,0.6012470000000055
astar,median,4,20,-1,2,True,14,17,12,
astar,component,4,20,-1,2,True,14,17,12,
astar,bbox,4,20,-1,2,True,38,31,12,
ppo,,4,20,0,3,False,300,22,10,0.5922999999999945
astar,median,4,20,-1,3,True,18,35,12,
astar,component,4,20,-1,3,True,87,107,30,
astar,bbox,4,20,-1,3,True,92,62,20,
ppo,,4,20,0,4,False,300,33,14,0.6050280000000067
astar,median,4,20,-1,4,True,69,44,17,
astar,component,4,20,-1,4,True,18,55,15,
astar,bbox,4,20,-1,4,True,32,50,16,
ppo,,4,20,0,5,False,300,19,7,0.5970856666666672
astar,median,4,20,-1,5,True,15,32,12,
astar,component,4,20,-1,5,True,102,81,22,
astar,bbox,4,20,-1,5,True,16,38,13,
ppo,,4,20,0,6,False,300,322,299,0.5786309999999991
astar,median,4,20,-1,6,True,19,46,13,
astar,component,4,20,-1,6,True,30,78,21,
astar,bbox,4,20,-1,6,True,17,54,17,
ppo,,4,20,0,7,False,300,304,299,0.6181333333333328
astar,median,4,20,-1,7,True,42,27,12,
astar,component,4,20,-1,7,True,12,25,11,
astar,bbox,4,20,-1,7,True,69,43,13,
ppo,,4,20,0,8,False,300,602,296,0.6020596666666714
astar,median,4,20,-1,8,True,55,29,13,
astar,component,4,20,-1,8,True,28,46,16,
astar,bbox,4,20,-1,8,True,12,28,9,
ppo,,4,20,0,9,False,300,19,9,0.5889649999999946
astar,median,4,20,-1,9,True,30,26,9,
astar,component,4,20,-1,9,True,23,32,11,
astar,bbox,4,20,-1,9,True,8,26,8,
ppo,,4,20,0,10,False,300,12,8,0.6352963333333387
astar,median,4,20,-1,10,True,6,18,6,
astar,component,4,20,-1,10,True,32,44,22,
astar,bbox,4,20,-1,10,True,12,30,12,
ppo,,4,20,0,11,False,300,4,4,0.666626999999996
astar,median,4,20,-1,11,True,11,23,11,
astar,component,4,20,-1,11,True,11,34,10,
astar,bbox,4,20,-1,11,True,205,94,41,
ppo,,4,20,0,12,False,300,10,5,0.8232223333333385
astar,median,4,20,-1,12,True,34,34,12,
astar,component,4,20,-1,12,True,18,39,13,
astar,bbox,4,20,-1,12,True,104,56,18,
ppo,,4,20,0,13,False,300,26,12,0.6773970000000062
astar,median,4,20,-1,13,False,300,121,66,
astar,component,4,20,-1,13,True,150,222,68,
astar,bbox,4,20,-1,13,True,190,82,30,
ppo,,4,20,0,14,False,300,315,300,0.7872746666666686
astar,median,4,20,-1,14,True,12,34,10,
astar,component,4,20,-1,14,True,29,88,23,
astar,bbox,4,20,-1,14,True,24,44,11,
ppo,,4,20,0,15,False,300,1,1,0.6528866666666625
astar,median,4,20,-1,15,True,16,31,12,
astar,component,4,20,-1,15,True,20,54,17,
astar,bbox,4,20,-1,15,True,16,52,16,
ppo,,4,20,0,16,False,300,71,32,0.6607739999999988
astar,median,4,20,-1,16,True,4,14,4,
astar,component,4,20,-1,16,True,8,22,8,
astar,bbox,4,20,-1,16,True,4,14,4,
ppo,,4,20,0,17,False,300,12,6,0.7056113333333395
astar,median,4,20,-1,17,True,38,43,32,
astar,component,4,20,-1,17,True,22,57,22,
astar,bbox,4,20,-1,17,True,13,46,13,
ppo,,4,20,0,18,False,300,308,300,0.628152333333342
astar,median,4,20,-1,18,True,45,32,15,
astar,component,4,20,-1,18,True,88,53,17,
astar,bbox,4,20,-1,18,True,135,64,21,
ppo,,4,20,0,19,False,300,597,297,0.7917209999999978
astar,median,4,20,-1,19,True,67,58,17,
astar,component,4,20,-1,19,True,160,204,53,
astar,bbox,4,20,-1,19,True,47,64,17,
