config,method,heuristic,train_seed,n_maps,success_rate,steps_mean,steps_std,total_dist_mean,total_dist_std,max_dist_mean,max_dist_std
N2_M20,ppo,,0,20,0.55,137.95,146.6054142929244,9.05,6.2327762674429446,5.5,3.6124783736376886
N2_M20,ppo,,1,20,0.4,182.45,143.98905340337507,9.0,5.504543577809154,5.85,3.6231892028984634
N2_M20,ppo,,2,20,0.5,152.95,147.0664730657535,10.15,6.944602220429908,6.95,5.123231402152356
N2_M20,ppo,,mean,20,0.4833333333333333,157.78333333333336,118.48840895022413,9.399999999999999,5.785614343640038,6.1,3.5230983838408805
N2_M20,astar,median,-1,20,1.0,10.7,9.11098238391448,13.1,7.1965269401288285,7.15,4.150602365922325
N2_M20,astar,component,-1,20,1.0,18.95,11.342288128944706,22.85,15.675697751615395,13.05,8.151533598041537
N2_M20,astar,bbox,-1,20,1.0,10.5,7.940403012442126,12.9,6.847627326307997,7.05,3.9556921012636965
N3_M20,ppo,,0,20,0.2,241.1,117.80106111576414,29.1,65.84443788202614,22.0,63.84277562888381
N3_M20,ppo,,1,20,0.3,212.3,133.9727957460021,63.6,104.38409840583957,52.25,103.04167846070831
N3_M20,ppo,,2,20,0.1,270.65,88.05354904829221,13.4,5.6780278266313555,7.8,3.2031234756093934
N3_M20,ppo,,mean,20,0.2,241.35,99.8684398485216,35.36666666666666,39.40542827806567,27.35,38.8069975076088
N3_M20,astar,median,-1,20,1.0,16.8,9.468896451012652,19.05,5.962172422867356,12.15,5.1987979379852804
N3_M20,astar,component,-1,20,1.0,24.3,13.293231360357796,37.45,17.864699829552134,16.3,6.9144775652250114
N3_M20,astar,bbox,-1,20,1.0,19.55,12.399495957497626,26.7,9.492628719169417,10.5,3.653765181289022
N4_M20,ppo,,0,20,0.0,300.0,0.0,154.7,193.11061596919006,111.5,137.52436147824864
N4_M20,ppo,,1,20,0.0,300.0,0.0,107.65,135.04120667411112,96.5,133.19928678487733
N4_M20,ppo,,2,20,0.0,300.0,0.0,180.85,196.69704497017742,139.5,144.71921088784308
N4_M20,ppo,,mean,20,0.0,300.0,0.0,147.73333333333332,83.18110095181211,115.83333333333334,60.88554836740817
N4_M20,astar,median,-1,20,0.95,45.3,62.802149644737476,37.65,22.057368383377014,16.5,12.882158204276175
N4_M20,astar,component,-1,20,1.0,46.65,45.0269641437217,68.3,53.12918218832283,21.45,14.238943078754124
N4_M20,astar,bbox,-1,20,1.0,53.95,59.16204442038832,47.25,19.120342570152868,15.65,7.932685547782668
N5_M20,ppo,,0,20,0.0,300.0,0.0,73.85,119.76237931838196,64.95,116.96216268520347
N5_M20,ppo,,1,20,0.0,300.0,0.0,159.15,172.0146142047239,126.6,141.1794602624617
N5_M20,ppo,,2,20,0.0,300.0,0.0,122.15,161.7372174238199,84.65,124.19914452201351
N5_M20,ppo,,mean,20,0.0,300.0,0.0,118.38333333333335,92.2163684554489,92.06666666666666,76.92244290337003
N5_M20,astar,median,-1,20,1.0,36.05,26.140916204295518,43.4,11.573245007343447,14.75,3.462296925452813
N5_M20,astar,component,-1,20,0.9,77.7,85.87846062896098,97.4,76.42407997483517,27.35,22.07323039339734
N5_M20,astar,bbox,-1,20,0.95,57.6,68.6457573343029,58.05,25.40565881846011,15.0,6.557438524302
N5_M25,ppo,,0,20,0.0,300.0,0.0,183.25,166.88615131280366,143.95,139.6808773597875
N5_M25,ppo,,1,20,0.0,300.0,0.0,68.95,87.54740144630223,43.25,85.40308835165155
N5_M25,ppo,,mean,20,0.0,300.0,0.0,126.1,82.18950662949621,93.6,69.96688502427416
N5_M25,astar,median,-1,20,1.0,35.95,44.23287804337403,54.3,23.349732332512936,18.95,4.994747240852133
N5_M25,astar,component,-1,20,1.0,50.85,63.244189456423584,94.15,55.32655329947819,24.65,13.150190112694188
N5_M25,astar,bbox,-1,20,1.0,34.1,35.7783454061252,68.0,20.044949488586894,17.4,4.282522621072771
