method,config,success_mean,total_mean,total_std,max_mean,max_std,steps_mean,n
astar,N2_M20,0.9833333333333333,12.6,32.62639048273963,8.766666666666667,32.64984577878632,9.066666666666666,60
astar,N3_M20,0.9833333333333333,25.966666666666665,14.114503499576172,9.716666666666667,5.390172056832683,14.016666666666667,60
astar,N4_M20,0.9833333333333333,60.233333333333334,127.53495588171666,16.316666666666666,31.892558861503467,16.766666666666666,60
astar,N5_M20,0.9666666666666667,74.75,125.71620245347071,17.466666666666665,31.554347341661057,21.783333333333335,60
astar,N5_M25,0.9666666666666667,112.13333333333334,196.2644762374698,25.283333333333335,43.28505894282247,25.666666666666668,60
ppo,N2_M20,0.45,5.183333333333334,4.315881851741552,3.4833333333333334,3.0392442563435926,142.16666666666666,60
ppo,N3_M20,0.18333333333333332,22.383333333333333,55.78289989686763,17.933333333333334,55.18101696025874,210.1,60
ppo,N4_M20,0.0,56.2,98.85647874484762,50.86666666666667,97.64072272603924,256.0,60
ppo,N5_M20,0.0,67.91666666666667,116.28257395521359,55.733333333333334,100.75896169364749,256.0,60
ppo,N5_M25,0.0,66.13333333333334,111.51734176406956,52.733333333333334,96.82902399077277,256.0,60
