method,config,n_robots,map_size,seed,episode,success,steps,total_distance,max_distance,inference_ms_per_step
ppo,N2_M20,2,20,0,0,0,256,3,3,0.798
astar,N2_M20,2,20,0,0,1,6,10,6,
ppo,N2_M20,2,20,0,1,1,1,2,1,0.983
astar,N2_M20,2,20,0,1,1,2,4,2,
ppo,N2_M20,2,20,0,2,1,7,13,7,0.387
astar,N2_M20,2,20,0,2,1,2,4,2,
ppo,N2_M20,2,20,0,3,0,256,2,2,0.342
astar,N2_M20,2,20,0,3,1,6,12,6,
ppo,N2_M20,2,20,0,4,1,2,4,2,0.57
astar,N2_M20,2,20,0,4,1,1,2,1,
ppo,N2_M20,2,20,0,5,0,256,3,3,0.344
astar,N2_M20,2,20,0,5,1,4,8,4,
ppo,N2_M20,2,20,0,6,0,256,13,10,0.341
astar,N2_M20,2,20,0,6,1,1,2,1,
ppo,N2_M20,2,20,0,7,0,256,1,1,0.336
astar,N2_M20,2,20,0,7,1,7,12,7,
ppo,N2_M20,2,20,0,8,0,256,0,0,0.343
astar,N2_M20,2,20,0,8,1,7,12,7,
ppo,N2_M20,2,20,0,9,0,256,0,0,0.338
astar,N2_M20,2,20,0,9,1,2,4,2,
ppo,N2_M20,2,20,0,10,1,1,2,1,1.74
astar,N2_M20,2,20,0,10,1,7,14,7,
ppo,N2_M20,2,20,0,11,0,256,2,1,0.348
astar,N2_M20,2,20,0,11,1,10,19,10,
ppo,N2_M20,2,20,0,12,1,5,5,5,0.442
astar,N2_M20,2,20,0,12,1,1,2,1,
ppo,N2_M20,2,20,0,13,1,4,8,4,0.505
astar,N2_M20,2,20,0,13,1,1,2,1,
ppo,N2_M20,2,20,0,14,0,256,3,2,0.324
astar,N2_M20,2,20,0,14,1,12,22,12,
ppo,N2_M20,2,20,0,15,0,256,10,7,0.319
astar,N2_M20,2,20,0,15,1,11,18,10,
ppo,N2_M20,2,20,0,16,1,1,2,1,0.907
astar,N2_M20,2,20,0,16,1,1,2,1,
ppo,N2_M20,2,20,0,17,0,256,14,10,0.32
astar,N2_M20,2,20,0,17,1,15,22,11,
ppo,N2_M20,2,20,0,18,0,256,0,0,0.329
astar,N2_M20,2,20,0,18,1,11,18,10,
ppo,N2_M20,2,20,0,19,1,5,6,5,0.426
astar,N2_M20,2,20,0,19,1,8,13,7,
ppo,N2_M20,2,20,1,0,0,256,0,0,0.339
astar,N2_M20,2,20,1,0,1,1,2,1,
ppo,N2_M20,2,20,1,1,1,1,1,1,0.811
astar,N2_M20,2,20,1,1,1,15,22,12,
ppo,N2_M20,2,20,1,2,0,256,4,3,0.336
astar,N2_M20,2,20,1,2,1,1,2,1,
ppo,N2_M20,2,20,1,3,0,256,13,9,0.333
astar,N2_M20,2,20,1,3,1,12,21,11,
ppo,N2_M20,2,20,1,4,1,1,2,1,1.26
astar,N2_M20,2,20,1,4,1,1,2,1,
ppo,N2_M20,2,20,1,5,0,256,7,4,0.334
astar,N2_M20,2,20,1,5,1,4,8,4,
ppo,N2_M20,2,20,1,6,1,1,2,1,0.809
astar,N2_M20,2,20,1,6,1,6,10,6,
ppo,N2_M20,2,20,1,7,1,3,6,3,0.693
astar,N2_M20,2,20,1,7,1,2,4,2,
ppo,N2_M20,2,20,1,8,0,256,12,6,0.346
astar,N2_M20,2,20,1,8,1,5,9,5,
ppo,N2_M20,2,20,1,9,1,4,7,4,0.45
astar,N2_M20,2,20,1,9,1,4,8,4,
ppo,N2_M20,2,20,1,10,1,4,8,4,0.439
astar,N2_M20,2,20,1,10,1,6,9,6,
ppo,N2_M20,2,20,1,11,1,1,2,1,1.689
astar,N2_M20,2,20,1,11,1,3,6,3,
ppo,N2_M20,2,20,1,12,1,8,11,8,0.365
astar,N2_M20,2,20,1,12,1,10,15,8,
ppo,N2_M20,2,20,1,13,1,1,2,1,1.052
astar,N2_M20,2,20,1,13,1,12,18,9,
ppo,N2_M20,2,20,1,14,0,256,6,6,0.346
astar,N2_M20,2,20,1,14,1,10,18,10,
ppo,N2_M20,2,20,1,15,0,256,14,9,0.335
astar,N2_M20,2,20,1,15,1,1,2,1,
ppo,N2_M20,2,20,1,16,0,256,5,3,0.326
astar,N2_M20,2,20,1,16,1,1,2,1,
ppo,N2_M20,2,20,1,17,0,256,0,0,0.319
astar,N2_M20,2,20,1,17,1,1,1,1,
ppo,N2_M20,2,20,1,18,0,256,5,3,0.319
astar,N2_M20,2,20,1,18,1,1,1,1,
ppo,N2_M20,2,20,1,19,1,1,2,1,0.803
astar,N2_M20,2,20,1,19,1,5,10,5,
ppo,N2_M20,2,20,2,0,0,256,9,9,0.335
astar,N2_M20,2,20,2,0,1,5,9,5,
ppo,N2_M20,2,20,2,1,0,256,3,3,0.339
astar,N2_M20,2,20,2,1,1,6,10,6,
ppo,N2_M20,2,20,2,2,1,2,3,2,0.601
astar,N2_M20,2,20,2,2,1,5,10,5,
ppo,N2_M20,2,20,2,3,1,1,2,1,1.322
astar,N2_M20,2,20,2,3,1,1,2,1,
ppo,N2_M20,2,20,2,4,1,1,2,1,0.861
astar,N2_M20,2,20,2,4,1,3,6,3,
ppo,N2_M20,2,20,2,5,1,1,2,1,0.866
astar,N2_M20,2,20,2,5,1,1,2,1,
ppo,N2_M20,2,20,2,6,1,1,2,1,1.542
astar,N2_M20,2,20,2,6,1,13,23,12,
ppo,N2_M20,2,20,2,7,0,256,2,2,0.338
astar,N2_M20,2,20,2,7,1,1,1,1,
ppo,N2_M20,2,20,2,8,1,7,14,7,0.524
astar,N2_M20,2,20,2,8,0,256,256,256,
ppo,N2_M20,2,20,2,9,0,256,6,3,0.338
astar,N2_M20,2,20,2,9,1,1,2,1,
ppo,N2_M20,2,20,2,10,0,256,11,10,0.336
